|dates|Erie_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Erie_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Erie_NewYork_UnitedStates.NYT_ConfirmedDeaths.data|Erie_NewYork_UnitedStates.NYT_ConfirmedDeaths.missing|Erie_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Erie_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Erie_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Erie_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|1938.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|1940.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|1944.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|1945.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|1949.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|1950.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|1953.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|1956.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|1959.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|1960.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|1962.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|1964.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|1964.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|1968.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|1970.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|1971.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|1972.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|1975.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|1976.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|1976.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|1980.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|1983.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|1985.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|1989.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|1992.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|1996.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|1998.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|2000.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|2002.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|2005.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|2006.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|2009.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|2013.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|2017.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|2020.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|2021.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|2022.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|2024.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|2026.0|0|0.0|100|0.0|100
0|2021-11-25|0.0|100|2028.0|0|0.0|100|0.0|100
0|2021-11-26|0.0|100|2028.0|0|0.0|100|0.0|100
0|2021-11-27|0.0|100|2038.0|0|0.0|100|0.0|100
0|2021-11-28|0.0|100|2040.0|0|0.0|100|0.0|100
0|2021-11-29|0.0|100|2046.0|0|0.0|100|0.0|100
