|dates|McPherson_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|McPherson_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|McPherson_Nebraska_UnitedStates.Male_Total_Population.data|McPherson_Nebraska_UnitedStates.Male_Total_Population.missing|McPherson_Nebraska_UnitedStates.Female_Total_Population.data|McPherson_Nebraska_UnitedStates.Female_Total_Population.missing|McPherson_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|McPherson_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-18|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-19|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-20|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-21|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-22|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-23|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-24|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-25|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-26|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-27|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-28|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-29|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-30|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-10-31|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-01|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-02|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-03|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-04|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-05|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-06|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-07|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-08|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-09|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-10|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-11|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-12|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-13|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-14|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-15|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-16|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-17|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-18|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-19|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-20|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-21|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-22|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-23|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-24|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-25|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-26|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-27|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-28|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-29|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-11-30|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-01|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-02|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-03|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-04|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-05|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-06|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-07|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-08|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-09|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-10|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-11|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-12|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-13|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-14|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-15|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-16|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-17|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-18|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-19|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-20|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-21|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-22|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-23|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-24|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-25|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-26|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-27|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-28|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-29|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-30|119.0|0|251.0|0|241.0|0|91.0|0
0|2021-12-31|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-01|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-02|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-03|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-04|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-05|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-06|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-07|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-08|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-09|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-10|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-11|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-12|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-13|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-14|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-15|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-16|119.0|0|251.0|0|241.0|0|91.0|0
0|2022-01-17|119.0|0|251.0|0|241.0|0|91.0|0
