|dates|NewCastle_Delaware_UnitedStates.MaleAndFemale_AtLeast65_Population.data|NewCastle_Delaware_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|NewCastle_Delaware_UnitedStates.Male_Total_Population.data|NewCastle_Delaware_UnitedStates.Male_Total_Population.missing|NewCastle_Delaware_UnitedStates.Female_Total_Population.data|NewCastle_Delaware_UnitedStates.Female_Total_Population.missing|NewCastle_Delaware_UnitedStates.MaleAndFemale_Under18_Population.data|NewCastle_Delaware_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-18|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-19|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-20|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-21|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-22|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-23|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-24|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-25|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-26|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-27|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-28|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-29|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-30|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-10-31|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-01|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-02|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-03|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-04|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-05|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-06|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-07|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-08|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-09|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-10|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-11|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-12|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-13|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-14|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-15|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-16|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-17|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-18|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-19|87028.0|0|271123.0|0|288212.0|0|120227.0|0
0|2021-11-20|87028.0|0|271123.0|0|288212.0|0|120227.0|0
