|dates|Posey_Indiana_UnitedStates.JHU_ConfirmedCases.data|Posey_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Posey_Indiana_UnitedStates.NYT_ConfirmedCases.data|Posey_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Posey_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Posey_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Posey_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Posey_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3742.0|0|3742.0|0|43.0|0|0.0|100
0|2021-10-18|3753.0|0|3753.0|0|43.0|0|0.0|100
0|2021-10-19|3753.0|0|3753.0|0|43.0|0|0.0|100
0|2021-10-20|3758.0|0|3758.0|0|44.0|0|0.0|100
0|2021-10-21|3766.0|0|3766.0|0|44.0|0|0.0|100
0|2021-10-22|3766.0|0|3766.0|0|44.0|0|0.0|100
0|2021-10-23|3766.0|0|3766.0|0|44.0|0|0.0|100
0|2021-10-24|3766.0|0|3766.0|0|44.0|0|0.0|100
0|2021-10-25|3775.0|0|3775.0|0|44.0|0|0.0|100
0|2021-10-26|3779.0|0|3779.0|0|44.0|0|0.0|100
0|2021-10-27|3784.0|0|3784.0|0|44.0|0|0.0|100
0|2021-10-28|3792.0|0|3792.0|0|44.0|0|0.0|100
0|2021-10-29|3796.0|0|3796.0|0|44.0|0|0.0|100
0|2021-10-30|3796.0|0|3796.0|0|44.0|0|0.0|100
0|2021-10-31|3796.0|0|3796.0|0|44.0|0|0.0|100
0|2021-11-01|3800.0|0|3800.0|0|44.0|0|0.0|100
0|2021-11-02|3808.0|0|3808.0|0|44.0|0|0.0|100
0|2021-11-03|3813.0|0|3813.0|0|44.0|0|0.0|100
0|2021-11-04|3819.0|0|3819.0|0|44.0|0|0.0|100
0|2021-11-05|3823.0|0|3823.0|0|44.0|0|0.0|100
0|2021-11-06|3823.0|0|3823.0|0|44.0|0|0.0|100
0|2021-11-07|3823.0|0|3823.0|0|44.0|0|0.0|100
0|2021-11-08|3832.0|0|3832.0|0|44.0|0|0.0|100
0|2021-11-09|3838.0|0|3838.0|0|44.0|0|0.0|100
