|dates|Baltimore_Maryland_UnitedStates.JHU_ConfirmedCases.data|Baltimore_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Baltimore_Maryland_UnitedStates.NYT_ConfirmedCases.data|Baltimore_Maryland_UnitedStates.NYT_ConfirmedCases.missing|Baltimore_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Baltimore_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Baltimore_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Baltimore_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|75644.0|0|75686.0|0|1817.0|0|0.0|100
0|2021-10-18|75718.0|0|75760.0|0|1817.0|0|0.0|100
0|2021-10-19|75812.0|0|75854.0|0|1819.0|0|0.0|100
0|2021-10-20|75906.0|0|75948.0|0|1823.0|0|0.0|100
0|2021-10-21|76039.0|0|76081.0|0|1823.0|0|0.0|100
0|2021-10-22|76132.0|0|76174.0|0|1828.0|0|0.0|100
0|2021-10-23|76246.0|0|76288.0|0|1830.0|0|0.0|100
0|2021-10-24|76319.0|0|76361.0|0|1830.0|0|0.0|100
0|2021-10-25|76362.0|0|76404.0|0|1830.0|0|0.0|100
0|2021-10-26|76414.0|0|76456.0|0|1832.0|0|0.0|100
0|2021-10-27|76496.0|0|76538.0|0|1836.0|0|0.0|100
0|2021-10-28|76602.0|0|76644.0|0|1840.0|0|0.0|100
0|2021-10-29|76688.0|0|76730.0|0|1843.0|0|0.0|100
0|2021-10-30|76812.0|0|76854.0|0|1844.0|0|0.0|100
0|2021-10-31|76888.0|0|76930.0|0|1844.0|0|0.0|100
0|2021-11-01|76944.0|0|76986.0|0|1844.0|0|0.0|100
0|2021-11-02|77022.0|0|77064.0|0|1850.0|0|0.0|100
0|2021-11-03|77120.0|0|77162.0|0|1851.0|0|0.0|100
0|2021-11-04|77242.0|0|77284.0|0|1852.0|0|0.0|100
0|2021-11-05|77347.0|0|77389.0|0|1856.0|0|0.0|100
0|2021-11-06|77450.0|0|77492.0|0|1857.0|0|0.0|100
0|2021-11-07|77517.0|0|77559.0|0|1857.0|0|0.0|100
0|2021-11-08|77595.0|0|77637.0|0|1857.0|0|0.0|100
0|2021-11-09|77648.0|0|77690.0|0|1860.0|0|0.0|100
0|2021-11-10|77756.0|0|77798.0|0|1863.0|0|0.0|100
0|2021-11-11|77891.0|0|77933.0|0|1866.0|0|0.0|100
0|2021-11-12|78023.0|0|78065.0|0|1868.0|0|0.0|100
0|2021-11-13|78143.0|0|78185.0|0|1869.0|0|0.0|100
0|2021-11-14|78253.0|0|78295.0|0|1870.0|0|0.0|100
0|2021-11-15|78338.0|0|78380.0|0|1870.0|0|0.0|100
0|2021-11-16|78424.0|0|78466.0|0|1873.0|0|0.0|100
0|2021-11-17|78579.0|0|78621.0|0|1879.0|0|0.0|100
0|2021-11-18|78751.0|0|78793.0|0|1880.0|0|0.0|100
0|2021-11-19|78897.0|0|78939.0|0|1884.0|0|0.0|100
0|2021-11-20|79002.0|0|79044.0|0|1886.0|0|0.0|100
0|2021-11-21|79128.0|0|79170.0|0|1887.0|0|0.0|100
0|2021-11-22|79242.0|0|79284.0|0|1888.0|0|0.0|100
0|2021-11-23|79329.0|0|79371.0|0|1889.0|0|0.0|100
0|2021-11-24|79437.0|0|79479.0|0|1891.0|0|0.0|100
0|2021-11-25|79437.0|0|79479.0|0|1891.0|0|0.0|100
0|2021-11-26|79437.0|0|79479.0|0|1891.0|0|0.0|100
0|2021-11-27|79848.0|0|79890.0|0|1893.0|0|0.0|100
0|2021-11-28|79944.0|0|79986.0|0|1895.0|0|0.0|100
0|2021-11-29|80057.0|0|80099.0|0|1896.0|0|0.0|100
0|2021-11-30|80262.0|0|80304.0|0|1899.0|0|0.0|100
0|2021-12-01|80427.0|0|80469.0|0|1902.0|0|0.0|100
0|2021-12-02|80665.0|0|80707.0|0|1902.0|0|0.0|100
0|2021-12-03|80864.0|0|80906.0|0|1906.0|0|0.0|100
0|2021-12-04|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-05|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-06|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-07|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-08|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-09|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-10|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-11|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-12|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-13|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-14|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-15|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-16|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-17|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-18|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-19|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-20|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-21|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-22|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-23|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-24|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-25|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-26|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-27|81122.0|0|81164.0|0|1906.0|0|0.0|100
0|2021-12-28|91409.0|0|91452.0|0|1957.0|0|0.0|100
0|2021-12-29|93056.0|0|93099.0|0|1967.0|0|0.0|100
0|2021-12-30|94798.0|0|94841.0|0|1975.0|0|0.0|100
