|dates|Cumberland_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cumberland_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cumberland_NorthCarolina_UnitedStates.Male_Total_Population.data|Cumberland_NorthCarolina_UnitedStates.Male_Total_Population.missing|Cumberland_NorthCarolina_UnitedStates.Female_Total_Population.data|Cumberland_NorthCarolina_UnitedStates.Female_Total_Population.missing|Cumberland_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Cumberland_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-03|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-04|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-05|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-06|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-07|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-08|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-09|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-10|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-11|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-12|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-13|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-14|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-15|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-16|39617.0|0|164493.0|0|167837.0|0|82119.0|0
0|2022-01-17|39617.0|0|164493.0|0|167837.0|0|82119.0|0
