|dates|Brooks_Georgia_UnitedStates.JHU_ConfirmedCases.data|Brooks_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Brooks_Georgia_UnitedStates.NYT_ConfirmedCases.data|Brooks_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Brooks_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Brooks_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Brooks_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Brooks_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2402.0|0|2404.0|0|67.0|0|0.0|100
0|2021-10-18|2403.0|0|2406.0|0|67.0|0|0.0|100
0|2021-10-19|2403.0|0|2406.0|0|68.0|0|0.0|100
0|2021-10-20|2403.0|0|2406.0|0|68.0|0|0.0|100
0|2021-10-21|2404.0|0|2407.0|0|68.0|0|0.0|100
0|2021-10-22|2405.0|0|2408.0|0|69.0|0|0.0|100
0|2021-10-23|2405.0|0|2408.0|0|69.0|0|0.0|100
0|2021-10-24|2405.0|0|2408.0|0|69.0|0|0.0|100
0|2021-10-25|2405.0|0|2408.0|0|69.0|0|0.0|100
0|2021-10-26|2405.0|0|2408.0|0|69.0|0|0.0|100
0|2021-10-27|2407.0|0|2410.0|0|69.0|0|0.0|100
0|2021-10-28|2409.0|0|2412.0|0|69.0|0|0.0|100
0|2021-10-29|2409.0|0|2412.0|0|70.0|0|0.0|100
0|2021-10-30|2409.0|0|2412.0|0|70.0|0|0.0|100
0|2021-10-31|2409.0|0|2412.0|0|70.0|0|0.0|100
0|2021-11-01|2410.0|0|2414.0|0|70.0|0|0.0|100
0|2021-11-02|2411.0|0|2415.0|0|70.0|0|0.0|100
0|2021-11-03|2415.0|0|2419.0|0|70.0|0|0.0|100
0|2021-11-04|2419.0|0|2423.0|0|70.0|0|0.0|100
0|2021-11-05|2420.0|0|2424.0|0|71.0|0|0.0|100
0|2021-11-06|2420.0|0|2424.0|0|71.0|0|0.0|100
0|2021-11-07|2420.0|0|2424.0|0|71.0|0|0.0|100
0|2021-11-08|2420.0|0|2424.0|0|71.0|0|0.0|100
0|2021-11-09|2420.0|0|2424.0|0|71.0|0|0.0|100
0|2021-11-10|2420.0|0|2425.0|0|71.0|0|0.0|100
0|2021-11-11|2421.0|0|2425.0|0|71.0|0|0.0|100
0|2021-11-12|2422.0|0|2426.0|0|71.0|0|0.0|100
0|2021-11-13|2422.0|0|2426.0|0|71.0|0|0.0|100
0|2021-11-14|2422.0|0|2426.0|0|71.0|0|0.0|100
0|2021-11-15|2424.0|0|2428.0|0|71.0|0|0.0|100
0|2021-11-16|2427.0|0|2431.0|0|71.0|0|0.0|100
0|2021-11-17|2430.0|0|2434.0|0|72.0|0|0.0|100
