|dates|Logan_Colorado_UnitedStates.JHU_ConfirmedCases.data|Logan_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Logan_Colorado_UnitedStates.NYT_ConfirmedCases.data|Logan_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Logan_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Logan_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Logan_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Logan_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4579.0|0|4579.0|0|79.0|0|0.0|100
0|2021-10-18|4604.0|0|4604.0|0|79.0|0|0.0|100
0|2021-10-19|4613.0|0|4613.0|0|79.0|0|0.0|100
0|2021-10-20|4625.0|0|4625.0|0|80.0|0|0.0|100
0|2021-10-21|4641.0|0|4641.0|0|80.0|0|0.0|100
0|2021-10-22|4663.0|0|4663.0|0|80.0|0|0.0|100
0|2021-10-23|4663.0|0|4663.0|0|80.0|0|0.0|100
0|2021-10-24|4663.0|0|4663.0|0|80.0|0|0.0|100
0|2021-10-25|4686.0|0|4686.0|0|82.0|0|0.0|100
0|2021-10-26|4705.0|0|4705.0|0|82.0|0|0.0|100
0|2021-10-27|4730.0|0|4730.0|0|82.0|0|0.0|100
0|2021-10-28|4737.0|0|4737.0|0|82.0|0|0.0|100
0|2021-10-29|4752.0|0|4752.0|0|82.0|0|0.0|100
0|2021-10-30|4752.0|0|4752.0|0|82.0|0|0.0|100
0|2021-10-31|4752.0|0|4752.0|0|82.0|0|0.0|100
0|2021-11-01|4776.0|0|4776.0|0|83.0|0|0.0|100
0|2021-11-02|4796.0|0|4796.0|0|84.0|0|0.0|100
0|2021-11-03|4807.0|0|4807.0|0|84.0|0|0.0|100
0|2021-11-04|4818.0|0|4818.0|0|87.0|0|0.0|100
0|2021-11-05|4831.0|0|4831.0|0|87.0|0|0.0|100
0|2021-11-06|4831.0|0|4831.0|0|87.0|0|0.0|100
0|2021-11-07|4831.0|0|4831.0|0|87.0|0|0.0|100
0|2021-11-08|4868.0|0|4868.0|0|87.0|0|0.0|100
0|2021-11-09|4880.0|0|4880.0|0|87.0|0|0.0|100
0|2021-11-10|4890.0|0|4890.0|0|87.0|0|0.0|100
