|dates|Perry_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Perry_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Perry_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Perry_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Perry_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Perry_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Perry_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Perry_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1585.0|0|1585.0|0|34.0|0|0.0|100
0|2021-10-18|1594.0|0|1594.0|0|34.0|0|0.0|100
0|2021-10-19|1595.0|0|1595.0|0|34.0|0|0.0|100
0|2021-10-20|1599.0|0|1599.0|0|34.0|0|0.0|100
0|2021-10-21|1600.0|0|1600.0|0|34.0|0|0.0|100
0|2021-10-22|1602.0|0|1602.0|0|34.0|0|0.0|100
0|2021-10-23|1602.0|0|1602.0|0|34.0|0|0.0|100
0|2021-10-24|1602.0|0|1602.0|0|34.0|0|0.0|100
0|2021-10-25|1602.0|0|1602.0|0|34.0|0|0.0|100
0|2021-10-26|1609.0|0|1609.0|0|34.0|0|0.0|100
0|2021-10-27|1610.0|0|1610.0|0|34.0|0|0.0|100
0|2021-10-28|1614.0|0|1614.0|0|34.0|0|0.0|100
0|2021-10-29|1616.0|0|1616.0|0|34.0|0|0.0|100
0|2021-10-30|1616.0|0|1616.0|0|34.0|0|0.0|100
0|2021-10-31|1616.0|0|1616.0|0|34.0|0|0.0|100
0|2021-11-01|1616.0|0|1616.0|0|34.0|0|0.0|100
0|2021-11-02|1620.0|0|1620.0|0|34.0|0|0.0|100
0|2021-11-03|1621.0|0|1621.0|0|34.0|0|0.0|100
0|2021-11-04|1623.0|0|1623.0|0|34.0|0|0.0|100
0|2021-11-05|1623.0|0|1623.0|0|34.0|0|0.0|100
0|2021-11-06|1623.0|0|1623.0|0|34.0|0|0.0|100
0|2021-11-07|1623.0|0|1623.0|0|34.0|0|0.0|100
0|2021-11-08|1623.0|0|1623.0|0|34.0|0|0.0|100
0|2021-11-09|1625.0|0|1625.0|0|34.0|0|0.0|100
0|2021-11-10|1625.0|0|1625.0|0|34.0|0|0.0|100
0|2021-11-11|1625.0|0|1625.0|0|34.0|0|0.0|100
0|2021-11-12|1629.0|0|1629.0|0|34.0|0|0.0|100
0|2021-11-13|1629.0|0|1629.0|0|34.0|0|0.0|100
0|2021-11-14|1629.0|0|1629.0|0|34.0|0|0.0|100
0|2021-11-15|1634.0|0|1634.0|0|34.0|0|0.0|100
0|2021-11-16|1634.0|0|1634.0|0|34.0|0|0.0|100
0|2021-11-17|1634.0|0|1634.0|0|34.0|0|0.0|100
0|2021-11-18|1634.0|0|1634.0|0|34.0|0|0.0|100
0|2021-11-19|1634.0|0|1634.0|0|34.0|0|0.0|100
0|2021-11-20|1634.0|0|1634.0|0|34.0|0|0.0|100
0|2021-11-21|1634.0|0|1634.0|0|34.0|0|0.0|100
0|2021-11-22|1637.0|0|1637.0|0|34.0|0|0.0|100
0|2021-11-23|1638.0|0|1638.0|0|34.0|0|0.0|100
0|2021-11-24|1639.0|0|1639.0|0|34.0|0|0.0|100
0|2021-11-25|1639.0|0|1639.0|0|34.0|0|0.0|100
0|2021-11-26|1639.0|0|1639.0|0|34.0|0|0.0|100
0|2021-11-27|1639.0|0|1639.0|0|34.0|0|0.0|100
0|2021-11-28|1639.0|0|1639.0|0|34.0|0|0.0|100
0|2021-11-29|1641.0|0|1641.0|0|34.0|0|0.0|100
0|2021-11-30|1645.0|0|1645.0|0|34.0|0|0.0|100
0|2021-12-01|1646.0|0|1646.0|0|35.0|0|0.0|100
0|2021-12-02|1647.0|0|1647.0|0|35.0|0|0.0|100
0|2021-12-03|1648.0|0|1648.0|0|35.0|0|0.0|100
0|2021-12-04|1648.0|0|1648.0|0|35.0|0|0.0|100
0|2021-12-05|1648.0|0|1648.0|0|35.0|0|0.0|100
0|2021-12-06|1653.0|0|1653.0|0|35.0|0|0.0|100
0|2021-12-07|1653.0|0|1653.0|0|35.0|0|0.0|100
0|2021-12-08|1655.0|0|1655.0|0|35.0|0|0.0|100
0|2021-12-09|1655.0|0|1655.0|0|35.0|0|0.0|100
0|2021-12-10|1660.0|0|1660.0|0|35.0|0|0.0|100
0|2021-12-11|1660.0|0|1660.0|0|35.0|0|0.0|100
0|2021-12-12|1660.0|0|1660.0|0|35.0|0|0.0|100
0|2021-12-13|1664.0|0|1664.0|0|35.0|0|0.0|100
0|2021-12-14|1664.0|0|1664.0|0|35.0|0|0.0|100
0|2021-12-15|1666.0|0|1666.0|0|35.0|0|0.0|100
0|2021-12-16|1668.0|0|1668.0|0|35.0|0|0.0|100
0|2021-12-17|1670.0|0|1670.0|0|35.0|0|0.0|100
0|2021-12-18|1670.0|0|1670.0|0|35.0|0|0.0|100
0|2021-12-19|1670.0|0|1670.0|0|35.0|0|0.0|100
0|2021-12-20|1673.0|0|1673.0|0|35.0|0|0.0|100
0|2021-12-21|1676.0|0|1676.0|0|35.0|0|0.0|100
0|2021-12-22|1677.0|0|1677.0|0|35.0|0|0.0|100
0|2021-12-23|1680.0|0|1680.0|0|41.0|0|0.0|100
0|2021-12-24|1680.0|0|1680.0|0|41.0|0|0.0|100
0|2021-12-25|1680.0|0|1680.0|0|41.0|0|0.0|100
0|2021-12-26|1680.0|0|1680.0|0|41.0|0|0.0|100
0|2021-12-27|1686.0|0|1686.0|0|41.0|0|0.0|100
0|2021-12-28|1689.0|0|1689.0|0|41.0|0|0.0|100
0|2021-12-29|1696.0|0|1696.0|0|41.0|0|0.0|100
0|2021-12-30|1706.0|0|1706.0|0|41.0|0|0.0|100
0|2021-12-31|1706.0|0|1706.0|0|41.0|0|0.0|100
0|2022-01-01|1706.0|0|1706.0|0|41.0|0|0.0|100
0|2022-01-02|1706.0|0|1706.0|0|41.0|0|0.0|100
0|2022-01-03|1728.0|0|1728.0|0|41.0|0|0.0|100
0|2022-01-04|1735.0|0|1735.0|0|41.0|0|0.0|100
0|2022-01-05|1735.0|0|1735.0|0|41.0|0|0.0|100
0|2022-01-06|1735.0|0|1735.0|0|41.0|0|0.0|100
0|2022-01-07|1735.0|0|1735.0|0|41.0|0|0.0|100
0|2022-01-08|1735.0|0|1735.0|0|41.0|0|0.0|100
0|2022-01-09|1735.0|0|1735.0|0|41.0|0|0.0|100
0|2022-01-10|1735.0|0|1735.0|0|41.0|0|0.0|100
0|2022-01-11|1735.0|0|1735.0|0|41.0|0|0.0|100
0|2022-01-12|1774.0|0|1774.0|0|42.0|0|0.0|100
0|2022-01-13|1774.0|0|1774.0|0|42.0|0|0.0|100
0|2022-01-14|1774.0|0|1774.0|0|42.0|0|0.0|100
0|2022-01-15|1774.0|0|1774.0|0|42.0|0|0.0|100
0|2022-01-16|1774.0|0|1774.0|0|42.0|0|0.0|100
0|2022-01-17|1774.0|0|0.0|100|42.0|0|0.0|100
