|dates|Dillon_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Dillon_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Dillon_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Dillon_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Dillon_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Dillon_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Dillon_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Dillon_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6334.0|0|6334.0|0|111.0|0|0.0|100
0|2021-10-18|6350.0|0|6350.0|0|111.0|0|0.0|100
0|2021-10-19|6355.0|0|6355.0|0|111.0|0|0.0|100
0|2021-10-20|6356.0|0|6356.0|0|112.0|0|0.0|100
0|2021-10-21|6358.0|0|6358.0|0|113.0|0|0.0|100
0|2021-10-22|6365.0|0|6365.0|0|113.0|0|0.0|100
0|2021-10-23|6365.0|0|6365.0|0|113.0|0|0.0|100
0|2021-10-24|6365.0|0|6365.0|0|113.0|0|0.0|100
0|2021-10-25|6372.0|0|6372.0|0|113.0|0|0.0|100
0|2021-10-26|6372.0|0|6372.0|0|114.0|0|0.0|100
0|2021-10-27|6375.0|0|6375.0|0|114.0|0|0.0|100
0|2021-10-28|6375.0|0|6375.0|0|114.0|0|0.0|100
0|2021-10-29|6377.0|0|6377.0|0|114.0|0|0.0|100
0|2021-10-30|6377.0|0|6377.0|0|114.0|0|0.0|100
0|2021-10-31|6377.0|0|6377.0|0|114.0|0|0.0|100
0|2021-11-01|6381.0|0|6381.0|0|114.0|0|0.0|100
0|2021-11-02|6383.0|0|6383.0|0|114.0|0|0.0|100
0|2021-11-03|6384.0|0|6384.0|0|114.0|0|0.0|100
0|2021-11-04|6387.0|0|6387.0|0|114.0|0|0.0|100
0|2021-11-05|6393.0|0|6393.0|0|114.0|0|0.0|100
0|2021-11-06|6393.0|0|6393.0|0|114.0|0|0.0|100
0|2021-11-07|6393.0|0|6393.0|0|114.0|0|0.0|100
0|2021-11-08|6400.0|0|6400.0|0|114.0|0|0.0|100
0|2021-11-09|6402.0|0|6402.0|0|114.0|0|0.0|100
0|2021-11-10|6406.0|0|6406.0|0|114.0|0|0.0|100
0|2021-11-11|6406.0|0|6406.0|0|114.0|0|0.0|100
0|2021-11-12|6415.0|0|6415.0|0|114.0|0|0.0|100
0|2021-11-13|6415.0|0|6415.0|0|114.0|0|0.0|100
0|2021-11-14|6415.0|0|6415.0|0|114.0|0|0.0|100
0|2021-11-15|6420.0|0|6420.0|0|114.0|0|0.0|100
0|2021-11-16|6422.0|0|6422.0|0|114.0|0|0.0|100
0|2021-11-17|6424.0|0|6424.0|0|114.0|0|0.0|100
0|2021-11-18|6428.0|0|6428.0|0|115.0|0|0.0|100
0|2021-11-19|6430.0|0|6430.0|0|115.0|0|0.0|100
0|2021-11-20|6430.0|0|6430.0|0|115.0|0|0.0|100
0|2021-11-21|6430.0|0|6430.0|0|115.0|0|0.0|100
0|2021-11-22|6435.0|0|6435.0|0|115.0|0|0.0|100
0|2021-11-23|6436.0|0|6436.0|0|115.0|0|0.0|100
0|2021-11-24|6436.0|0|6436.0|0|116.0|0|0.0|100
0|2021-11-25|6436.0|0|6436.0|0|116.0|0|0.0|100
0|2021-11-26|6436.0|0|6439.0|0|116.0|0|0.0|100
0|2021-11-27|6439.0|0|6439.0|0|116.0|0|0.0|100
0|2021-11-28|6439.0|0|6439.0|0|116.0|0|0.0|100
0|2021-11-29|6445.0|0|6445.0|0|117.0|0|0.0|100
0|2021-11-30|6445.0|0|6445.0|0|117.0|0|0.0|100
0|2021-12-01|6449.0|0|6449.0|0|117.0|0|0.0|100
0|2021-12-02|6457.0|0|6457.0|0|117.0|0|0.0|100
0|2021-12-03|6459.0|0|6459.0|0|117.0|0|0.0|100
0|2021-12-04|6459.0|0|6459.0|0|117.0|0|0.0|100
0|2021-12-05|6459.0|0|6459.0|0|117.0|0|0.0|100
0|2021-12-06|6473.0|0|6473.0|0|117.0|0|0.0|100
