|dates|Douglas_Washington_UnitedStates.JHU_ConfirmedCases.data|Douglas_Washington_UnitedStates.JHU_ConfirmedCases.missing|Douglas_Washington_UnitedStates.NYT_ConfirmedCases.data|Douglas_Washington_UnitedStates.NYT_ConfirmedCases.missing|Douglas_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Douglas_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Douglas_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Douglas_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5861.0|0|5939.0|0|38.0|0|0.0|100
0|2021-10-18|5861.0|0|5959.0|0|38.0|0|0.0|100
0|2021-10-19|5899.0|0|5989.0|0|38.0|0|0.0|100
0|2021-10-20|5917.0|0|5999.0|0|39.0|0|0.0|100
0|2021-10-21|5940.0|0|6022.0|0|39.0|0|0.0|100
0|2021-10-22|5959.0|0|6048.0|0|39.0|0|0.0|100
0|2021-10-23|5959.0|0|6048.0|0|39.0|0|0.0|100
0|2021-10-24|5959.0|0|6048.0|0|39.0|0|0.0|100
0|2021-10-25|6006.0|0|6048.0|0|39.0|0|0.0|100
0|2021-10-26|6011.0|0|6111.0|0|39.0|0|0.0|100
0|2021-10-27|6014.0|0|6111.0|0|39.0|0|0.0|100
0|2021-10-28|6046.0|0|6136.0|0|38.0|0|0.0|100
0|2021-10-29|6065.0|0|6136.0|0|38.0|0|0.0|100
0|2021-10-30|6065.0|0|6136.0|0|38.0|0|0.0|100
0|2021-10-31|6065.0|0|6136.0|0|38.0|0|0.0|100
0|2021-11-01|6117.0|0|6173.0|0|38.0|0|0.0|100
0|2021-11-02|6127.0|0|6173.0|0|38.0|0|0.0|100
0|2021-11-03|6156.0|0|6173.0|0|38.0|0|0.0|100
0|2021-11-04|6174.0|0|6174.0|0|38.0|0|0.0|100
0|2021-11-05|6193.0|0|6193.0|0|38.0|0|0.0|100
0|2021-11-06|6193.0|0|6193.0|0|38.0|0|0.0|100
0|2021-11-07|6193.0|0|6193.0|0|38.0|0|0.0|100
0|2021-11-08|6240.0|0|6240.0|0|38.0|0|0.0|100
0|2021-11-09|6254.0|0|6254.0|0|39.0|0|0.0|100
0|2021-11-10|6277.0|0|6277.0|0|39.0|0|0.0|100
0|2021-11-11|6277.0|0|6277.0|0|39.0|0|0.0|100
0|2021-11-12|6342.0|0|6342.0|0|41.0|0|0.0|100
0|2021-11-13|6342.0|0|6342.0|0|41.0|0|0.0|100
0|2021-11-14|6342.0|0|6342.0|0|41.0|0|0.0|100
0|2021-11-15|6398.0|0|6398.0|0|41.0|0|0.0|100
0|2021-11-16|6418.0|0|6502.0|0|42.0|0|0.0|100
0|2021-11-17|6452.0|0|6514.0|0|42.0|0|0.0|100
0|2021-11-18|6470.0|0|6539.0|0|43.0|0|0.0|100
0|2021-11-19|6485.0|0|6560.0|0|43.0|0|0.0|100
0|2021-11-20|6485.0|0|6560.0|0|43.0|0|0.0|100
0|2021-11-21|6485.0|0|6560.0|0|43.0|0|0.0|100
0|2021-11-22|6523.0|0|6560.0|0|43.0|0|0.0|100
0|2021-11-23|6534.0|0|6619.0|0|44.0|0|0.0|100
0|2021-11-24|6551.0|0|6628.0|0|44.0|0|0.0|100
0|2021-11-25|6551.0|0|6628.0|0|44.0|0|0.0|100
0|2021-11-26|6551.0|0|6628.0|0|44.0|0|0.0|100
0|2021-11-27|6551.0|0|6628.0|0|44.0|0|0.0|100
0|2021-11-28|6551.0|0|6628.0|0|44.0|0|0.0|100
0|2021-11-29|6603.0|0|6628.0|0|45.0|0|0.0|100
0|2021-11-30|6613.0|0|6628.0|0|47.0|0|0.0|100
0|2021-12-01|6613.0|0|6702.0|0|47.0|0|0.0|100
0|2021-12-02|6640.0|0|6715.0|0|47.0|0|0.0|100
0|2021-12-03|6652.0|0|6729.0|0|47.0|0|0.0|100
0|2021-12-04|6652.0|0|6729.0|0|47.0|0|0.0|100
0|2021-12-05|6652.0|0|6729.0|0|47.0|0|0.0|100
0|2021-12-06|6667.0|0|6740.0|0|47.0|0|0.0|100
0|2021-12-07|6685.0|0|6768.0|0|49.0|0|0.0|100
0|2021-12-08|6694.0|0|6774.0|0|49.0|0|0.0|100
0|2021-12-09|6708.0|0|6782.0|0|50.0|0|0.0|100
0|2021-12-10|6718.0|0|6796.0|0|51.0|0|0.0|100
0|2021-12-11|6718.0|0|6796.0|0|51.0|0|0.0|100
0|2021-12-12|6718.0|0|6796.0|0|51.0|0|0.0|100
0|2021-12-13|6731.0|0|6805.0|0|51.0|0|0.0|100
0|2021-12-14|6731.0|0|6805.0|0|51.0|0|0.0|100
0|2021-12-15|6743.0|0|6818.0|0|54.0|0|0.0|100
0|2021-12-16|6753.0|0|6828.0|0|54.0|0|0.0|100
0|2021-12-17|6753.0|0|6828.0|0|54.0|0|0.0|100
0|2021-12-18|6760.0|0|6828.0|0|54.0|0|0.0|100
0|2021-12-19|6760.0|0|6828.0|0|54.0|0|0.0|100
0|2021-12-20|6777.0|0|6847.0|0|54.0|0|0.0|100
0|2021-12-21|6783.0|0|6847.0|0|54.0|0|0.0|100
