|dates|Shasta_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Shasta_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Shasta_California_UnitedStates.Male_Total_Population.data|Shasta_California_UnitedStates.Male_Total_Population.missing|Shasta_California_UnitedStates.Female_Total_Population.data|Shasta_California_UnitedStates.Female_Total_Population.missing|Shasta_California_UnitedStates.MaleAndFemale_Under18_Population.data|Shasta_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-18|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-19|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-20|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-21|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-22|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-23|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-24|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-25|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-26|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-27|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-28|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-29|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-30|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-10-31|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-01|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-02|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-03|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-04|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-05|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-06|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-07|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-08|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-09|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-10|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-11|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-12|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-13|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-14|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-15|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-16|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-17|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-18|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-19|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-20|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-21|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-22|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-23|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-24|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-25|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-26|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-27|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-28|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-29|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-11-30|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-01|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-02|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-03|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-04|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-05|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-06|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-07|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-08|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-09|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-10|37553.0|0|88367.0|0|91673.0|0|38584.0|0
0|2021-12-11|37553.0|0|88367.0|0|91673.0|0|38584.0|0
