|dates|Shelby_Iowa_UnitedStates.JHU_ConfirmedCases.data|Shelby_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Shelby_Iowa_UnitedStates.NYT_ConfirmedCases.data|Shelby_Iowa_UnitedStates.NYT_ConfirmedCases.missing|Shelby_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Shelby_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Shelby_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Shelby_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1742.0|0|1743.0|0|39.0|0|0.0|100
0|2021-10-18|1742.0|0|1743.0|0|39.0|0|0.0|100
0|2021-10-19|1742.0|0|1743.0|0|39.0|0|0.0|100
0|2021-10-20|1784.0|0|1784.0|0|39.0|0|0.0|100
0|2021-10-21|1784.0|0|1784.0|0|39.0|0|0.0|100
0|2021-10-22|1784.0|0|1784.0|0|39.0|0|0.0|100
0|2021-10-23|1784.0|0|1784.0|0|39.0|0|0.0|100
0|2021-10-24|1784.0|0|1784.0|0|39.0|0|0.0|100
0|2021-10-25|1784.0|0|1784.0|0|39.0|0|0.0|100
0|2021-10-26|1784.0|0|1784.0|0|39.0|0|0.0|100
0|2021-10-27|1828.0|0|1828.0|0|41.0|0|0.0|100
0|2021-10-28|1828.0|0|1828.0|0|41.0|0|0.0|100
0|2021-10-29|1828.0|0|1828.0|0|41.0|0|0.0|100
0|2021-10-30|1828.0|0|1828.0|0|41.0|0|0.0|100
0|2021-10-31|1828.0|0|1828.0|0|41.0|0|0.0|100
0|2021-11-01|1828.0|0|1828.0|0|41.0|0|0.0|100
0|2021-11-02|1872.0|0|1828.0|0|41.0|0|0.0|100
0|2021-11-03|1872.0|0|1872.0|0|41.0|0|0.0|100
0|2021-11-04|1872.0|0|1872.0|0|41.0|0|0.0|100
0|2021-11-05|1872.0|0|1872.0|0|41.0|0|0.0|100
0|2021-11-06|1872.0|0|1872.0|0|41.0|0|0.0|100
0|2021-11-07|1872.0|0|1872.0|0|41.0|0|0.0|100
0|2021-11-08|1872.0|0|1872.0|0|41.0|0|0.0|100
0|2021-11-09|1872.0|0|1872.0|0|41.0|0|0.0|100
0|2021-11-10|1898.0|0|1903.0|0|41.0|0|0.0|100
0|2021-11-11|1898.0|0|1903.0|0|41.0|0|0.0|100
0|2021-11-12|1898.0|0|1903.0|0|41.0|0|0.0|100
0|2021-11-13|1898.0|0|1903.0|0|41.0|0|0.0|100
0|2021-11-14|1898.0|0|1903.0|0|41.0|0|0.0|100
0|2021-11-15|1898.0|0|1903.0|0|41.0|0|0.0|100
0|2021-11-16|1898.0|0|1903.0|0|41.0|0|0.0|100
0|2021-11-17|1930.0|0|1935.0|0|41.0|0|0.0|100
0|2021-11-18|1930.0|0|1935.0|0|41.0|0|0.0|100
0|2021-11-19|1930.0|0|1935.0|0|41.0|0|0.0|100
0|2021-11-20|1930.0|0|1935.0|0|41.0|0|0.0|100
0|2021-11-21|1930.0|0|1935.0|0|41.0|0|0.0|100
0|2021-11-22|1930.0|0|1935.0|0|41.0|0|0.0|100
0|2021-11-23|1930.0|0|1935.0|0|41.0|0|0.0|100
0|2021-11-24|1964.0|0|1966.0|0|42.0|0|0.0|100
0|2021-11-25|1964.0|0|1966.0|0|42.0|0|0.0|100
0|2021-11-26|1964.0|0|1966.0|0|42.0|0|0.0|100
0|2021-11-27|1964.0|0|1966.0|0|42.0|0|0.0|100
0|2021-11-28|1964.0|0|1966.0|0|42.0|0|0.0|100
0|2021-11-29|1964.0|0|1966.0|0|42.0|0|0.0|100
0|2021-11-30|1964.0|0|1966.0|0|42.0|0|0.0|100
0|2021-12-01|1995.0|0|2008.0|0|42.0|0|0.0|100
0|2021-12-02|1995.0|0|2008.0|0|42.0|0|0.0|100
0|2021-12-03|1995.0|0|2008.0|0|42.0|0|0.0|100
0|2021-12-04|1995.0|0|2008.0|0|42.0|0|0.0|100
0|2021-12-05|1995.0|0|2008.0|0|42.0|0|0.0|100
0|2021-12-06|1995.0|0|2008.0|0|42.0|0|0.0|100
0|2021-12-07|1995.0|0|2008.0|0|42.0|0|0.0|100
0|2021-12-08|2058.0|0|2066.0|0|42.0|0|0.0|100
0|2021-12-09|2058.0|0|2066.0|0|42.0|0|0.0|100
0|2021-12-10|2079.0|0|2066.0|0|43.0|0|0.0|100
0|2021-12-11|2079.0|0|2066.0|0|43.0|0|0.0|100
