|dates|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedCases.data|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Keweenaw_Michigan_UnitedStates.NYT_ConfirmedCases.data|Keweenaw_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|235.0|0|235.0|0|4.0|0|0.0|100
0|2021-10-18|236.0|0|236.0|0|4.0|0|0.0|100
0|2021-10-19|236.0|0|236.0|0|4.0|0|0.0|100
0|2021-10-20|242.0|0|242.0|0|4.0|0|0.0|100
0|2021-10-21|242.0|0|242.0|0|4.0|0|0.0|100
0|2021-10-22|246.0|0|246.0|0|4.0|0|0.0|100
0|2021-10-23|246.0|0|246.0|0|4.0|0|0.0|100
0|2021-10-24|246.0|0|246.0|0|4.0|0|0.0|100
0|2021-10-25|252.0|0|252.0|0|4.0|0|0.0|100
0|2021-10-26|252.0|0|252.0|0|4.0|0|0.0|100
0|2021-10-27|260.0|0|260.0|0|4.0|0|0.0|100
0|2021-10-28|260.0|0|260.0|0|4.0|0|0.0|100
0|2021-10-29|262.0|0|262.0|0|5.0|0|0.0|100
0|2021-10-30|262.0|0|262.0|0|5.0|0|0.0|100
0|2021-10-31|262.0|0|262.0|0|5.0|0|0.0|100
0|2021-11-01|264.0|0|264.0|0|5.0|0|0.0|100
0|2021-11-02|264.0|0|264.0|0|5.0|0|0.0|100
0|2021-11-03|270.0|0|270.0|0|5.0|0|0.0|100
0|2021-11-04|270.0|0|270.0|0|5.0|0|0.0|100
0|2021-11-05|277.0|0|277.0|0|5.0|0|0.0|100
0|2021-11-06|277.0|0|277.0|0|5.0|0|0.0|100
0|2021-11-07|277.0|0|277.0|0|5.0|0|0.0|100
0|2021-11-08|289.0|0|289.0|0|5.0|0|0.0|100
0|2021-11-09|289.0|0|289.0|0|5.0|0|0.0|100
0|2021-11-10|289.0|0|294.0|0|5.0|0|0.0|100
0|2021-11-11|294.0|0|294.0|0|5.0|0|0.0|100
0|2021-11-12|304.0|0|304.0|0|6.0|0|0.0|100
0|2021-11-13|304.0|0|304.0|0|6.0|0|0.0|100
0|2021-11-14|304.0|0|304.0|0|6.0|0|0.0|100
0|2021-11-15|320.0|0|320.0|0|6.0|0|0.0|100
0|2021-11-16|320.0|0|320.0|0|6.0|0|0.0|100
0|2021-11-17|326.0|0|326.0|0|7.0|0|0.0|100
0|2021-11-18|326.0|0|326.0|0|7.0|0|0.0|100
0|2021-11-19|334.0|0|334.0|0|7.0|0|0.0|100
