|dates|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Rockcastle_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Rockcastle_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Rockcastle_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3114.0|0|3114.0|0|29.0|0|0.0|100
0|2021-10-18|3129.0|0|3129.0|0|30.0|0|0.0|100
0|2021-10-19|3139.0|0|3139.0|0|30.0|0|0.0|100
0|2021-10-20|3141.0|0|3141.0|0|30.0|0|0.0|100
0|2021-10-21|3145.0|0|3145.0|0|30.0|0|0.0|100
0|2021-10-22|3151.0|0|3151.0|0|30.0|0|0.0|100
0|2021-10-23|3151.0|0|3151.0|0|30.0|0|0.0|100
0|2021-10-24|3151.0|0|3151.0|0|30.0|0|0.0|100
0|2021-10-25|3158.0|0|3158.0|0|30.0|0|0.0|100
0|2021-10-26|3164.0|0|3164.0|0|30.0|0|0.0|100
0|2021-10-27|3166.0|0|3166.0|0|30.0|0|0.0|100
0|2021-10-28|3171.0|0|3171.0|0|30.0|0|0.0|100
0|2021-10-29|3173.0|0|3173.0|0|31.0|0|0.0|100
0|2021-10-30|3173.0|0|3173.0|0|31.0|0|0.0|100
0|2021-10-31|3173.0|0|3173.0|0|31.0|0|0.0|100
0|2021-11-01|3182.0|0|3182.0|0|31.0|0|0.0|100
0|2021-11-02|3190.0|0|3190.0|0|31.0|0|0.0|100
0|2021-11-03|3198.0|0|3198.0|0|31.0|0|0.0|100
0|2021-11-04|3203.0|0|3203.0|0|31.0|0|0.0|100
0|2021-11-05|3206.0|0|3206.0|0|31.0|0|0.0|100
0|2021-11-06|3206.0|0|3206.0|0|31.0|0|0.0|100
0|2021-11-07|3206.0|0|3206.0|0|31.0|0|0.0|100
0|2021-11-08|3217.0|0|3217.0|0|32.0|0|0.0|100
0|2021-11-09|3219.0|0|3219.0|0|33.0|0|0.0|100
0|2021-11-10|3219.0|0|3226.0|0|33.0|0|0.0|100
0|2021-11-11|3226.0|0|3226.0|0|33.0|0|0.0|100
0|2021-11-12|3228.0|0|3228.0|0|33.0|0|0.0|100
0|2021-11-13|3228.0|0|3228.0|0|33.0|0|0.0|100
0|2021-11-14|3228.0|0|3228.0|0|33.0|0|0.0|100
0|2021-11-15|3239.0|0|3239.0|0|33.0|0|0.0|100
0|2021-11-16|3250.0|0|3250.0|0|33.0|0|0.0|100
0|2021-11-17|3268.0|0|3268.0|0|33.0|0|0.0|100
0|2021-11-18|3273.0|0|3273.0|0|34.0|0|0.0|100
0|2021-11-19|3279.0|0|3279.0|0|36.0|0|0.0|100
0|2021-11-20|3279.0|0|3279.0|0|36.0|0|0.0|100
0|2021-11-21|3279.0|0|3279.0|0|36.0|0|0.0|100
0|2021-11-22|3297.0|0|3297.0|0|37.0|0|0.0|100
0|2021-11-23|3308.0|0|3308.0|0|37.0|0|0.0|100
0|2021-11-24|3312.0|0|3312.0|0|37.0|0|0.0|100
0|2021-11-25|3312.0|0|3312.0|0|37.0|0|0.0|100
0|2021-11-26|3312.0|0|3312.0|0|37.0|0|0.0|100
0|2021-11-27|3312.0|0|3312.0|0|37.0|0|0.0|100
0|2021-11-28|3312.0|0|3312.0|0|37.0|0|0.0|100
0|2021-11-29|3336.0|0|3336.0|0|37.0|0|0.0|100
0|2021-11-30|3340.0|0|3340.0|0|38.0|0|0.0|100
0|2021-12-01|3353.0|0|3353.0|0|38.0|0|0.0|100
