|dates|Jasper_Indiana_UnitedStates.JHU_ConfirmedCases.data|Jasper_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Jasper_Indiana_UnitedStates.NYT_ConfirmedCases.data|Jasper_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Jasper_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Jasper_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Jasper_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Jasper_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5204.0|0|5210.0|0|75.0|0|0.0|100
0|2021-10-18|5244.0|0|5250.0|0|75.0|0|0.0|100
0|2021-10-19|5266.0|0|5273.0|0|77.0|0|0.0|100
0|2021-10-20|5278.0|0|5285.0|0|79.0|0|0.0|100
0|2021-10-21|5298.0|0|5305.0|0|79.0|0|0.0|100
0|2021-10-22|5320.0|0|5327.0|0|79.0|0|0.0|100
0|2021-10-23|5320.0|0|5327.0|0|79.0|0|0.0|100
0|2021-10-24|5320.0|0|5327.0|0|79.0|0|0.0|100
0|2021-10-25|5361.0|0|5368.0|0|80.0|0|0.0|100
0|2021-10-26|5376.0|0|5383.0|0|81.0|0|0.0|100
0|2021-10-27|5394.0|0|5401.0|0|83.0|0|0.0|100
0|2021-10-28|5419.0|0|5426.0|0|86.0|0|0.0|100
0|2021-10-29|5429.0|0|5436.0|0|86.0|0|0.0|100
0|2021-10-30|5429.0|0|5436.0|0|86.0|0|0.0|100
0|2021-10-31|5429.0|0|5436.0|0|86.0|0|0.0|100
0|2021-11-01|5483.0|0|5490.0|0|86.0|0|0.0|100
0|2021-11-02|5499.0|0|5506.0|0|87.0|0|0.0|100
0|2021-11-03|5514.0|0|5521.0|0|87.0|0|0.0|100
0|2021-11-04|5527.0|0|5534.0|0|86.0|0|0.0|100
0|2021-11-05|5539.0|0|5546.0|0|87.0|0|0.0|100
0|2021-11-06|5539.0|0|5546.0|0|87.0|0|0.0|100
0|2021-11-07|5539.0|0|5546.0|0|87.0|0|0.0|100
0|2021-11-08|5569.0|0|5576.0|0|87.0|0|0.0|100
0|2021-11-09|5592.0|0|5599.0|0|87.0|0|0.0|100
0|2021-11-10|5592.0|0|5622.0|0|87.0|0|0.0|100
0|2021-11-11|5666.0|0|5673.0|0|87.0|0|0.0|100
0|2021-11-12|5692.0|0|5699.0|0|87.0|0|0.0|100
0|2021-11-13|5692.0|0|5699.0|0|87.0|0|0.0|100
0|2021-11-14|5692.0|0|5699.0|0|87.0|0|0.0|100
0|2021-11-15|5738.0|0|5745.0|0|87.0|0|0.0|100
0|2021-11-16|5752.0|0|5759.0|0|88.0|0|0.0|100
0|2021-11-17|5768.0|0|5775.0|0|88.0|0|0.0|100
0|2021-11-18|5800.0|0|5807.0|0|88.0|0|0.0|100
0|2021-11-19|5823.0|0|5830.0|0|88.0|0|0.0|100
0|2021-11-20|5823.0|0|5830.0|0|88.0|0|0.0|100
0|2021-11-21|5823.0|0|5830.0|0|88.0|0|0.0|100
0|2021-11-22|5869.0|0|5876.0|0|91.0|0|0.0|100
0|2021-11-23|5892.0|0|5899.0|0|91.0|0|0.0|100
0|2021-11-24|5919.0|0|5926.0|0|91.0|0|0.0|100
0|2021-11-25|5919.0|0|5926.0|0|91.0|0|0.0|100
0|2021-11-26|5919.0|0|5926.0|0|91.0|0|0.0|100
0|2021-11-27|5919.0|0|5926.0|0|91.0|0|0.0|100
0|2021-11-28|5919.0|0|5926.0|0|91.0|0|0.0|100
0|2021-11-29|6017.0|0|6024.0|0|91.0|0|0.0|100
0|2021-11-30|6049.0|0|6056.0|0|92.0|0|0.0|100
