|dates|Glasscock_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Glasscock_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Glasscock_Texas_UnitedStates.Male_Total_Population.data|Glasscock_Texas_UnitedStates.Male_Total_Population.missing|Glasscock_Texas_UnitedStates.Female_Total_Population.data|Glasscock_Texas_UnitedStates.Female_Total_Population.missing|Glasscock_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Glasscock_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-18|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-19|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-20|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-21|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-22|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-23|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-24|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-25|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-26|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-27|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-28|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-29|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-30|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-10-31|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-01|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-02|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-03|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-04|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-05|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-06|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-07|211.0|0|765.0|0|623.0|0|363.0|0
