|dates|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Gaston_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Gaston_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-27|43817.0|0|43817.0|0|649.0|0|0.0|100
0|2021-12-28|44591.0|0|44591.0|0|651.0|0|0.0|100
0|2021-12-29|44781.0|0|44781.0|0|651.0|0|0.0|100
0|2021-12-30|45128.0|0|45128.0|0|651.0|0|0.0|100
0|2021-12-31|45128.0|0|45518.0|0|651.0|0|0.0|100
0|2022-01-01|45128.0|0|45518.0|0|651.0|0|0.0|100
0|2022-01-02|45128.0|0|45518.0|0|651.0|0|0.0|100
0|2022-01-03|46673.0|0|46673.0|0|653.0|0|0.0|100
0|2022-01-04|46869.0|0|46869.0|0|653.0|0|0.0|100
0|2022-01-05|47303.0|0|47303.0|0|654.0|0|0.0|100
0|2022-01-06|47798.0|0|47798.0|0|657.0|0|0.0|100
0|2022-01-07|48286.0|0|48286.0|0|659.0|0|0.0|100
0|2022-01-08|48286.0|0|48286.0|0|659.0|0|0.0|100
0|2022-01-09|48286.0|0|48286.0|0|659.0|0|0.0|100
0|2022-01-10|49684.0|0|49684.0|0|659.0|0|0.0|100
0|2022-01-11|50101.0|0|50101.0|0|659.0|0|0.0|100
0|2022-01-12|50612.0|0|50612.0|0|668.0|0|0.0|100
0|2022-01-13|50612.0|0|51256.0|0|668.0|0|0.0|100
0|2022-01-14|51897.0|0|51897.0|0|672.0|0|0.0|100
0|2022-01-15|51897.0|0|51897.0|0|672.0|0|0.0|100
0|2022-01-16|51897.0|0|51897.0|0|672.0|0|0.0|100
0|2022-01-17|51897.0|0|0.0|100|672.0|0|0.0|100
