|dates|Sioux_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sioux_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sioux_Nebraska_UnitedStates.Male_Total_Population.data|Sioux_Nebraska_UnitedStates.Male_Total_Population.missing|Sioux_Nebraska_UnitedStates.Female_Total_Population.data|Sioux_Nebraska_UnitedStates.Female_Total_Population.missing|Sioux_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Sioux_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-18|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-19|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-20|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-21|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-22|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-23|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-24|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-25|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-26|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-27|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-28|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-29|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-30|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-10-31|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-01|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-02|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-03|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-04|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-05|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-06|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-07|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-08|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-09|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-10|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-11|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-12|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-13|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-14|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-15|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-16|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-17|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-18|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-19|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-20|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-21|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-22|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-23|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-24|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-25|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-26|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-27|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-28|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-29|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-11-30|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-01|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-02|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-03|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-04|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-05|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-06|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-07|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-08|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-09|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-10|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-11|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-12|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-13|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-14|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-15|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-16|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-17|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-18|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-19|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-20|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-21|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-22|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-23|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-24|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-25|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-26|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-27|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-28|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-29|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-30|339.0|0|609.0|0|578.0|0|221.0|0
0|2021-12-31|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-01|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-02|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-03|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-04|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-05|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-06|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-07|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-08|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-09|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-10|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-11|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-12|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-13|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-14|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-15|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-16|339.0|0|609.0|0|578.0|0|221.0|0
0|2022-01-17|339.0|0|609.0|0|578.0|0|221.0|0
