|dates|Butler_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Butler_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Butler_Ohio_UnitedStates.Male_Total_Population.data|Butler_Ohio_UnitedStates.Male_Total_Population.missing|Butler_Ohio_UnitedStates.Female_Total_Population.data|Butler_Ohio_UnitedStates.Female_Total_Population.missing|Butler_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Butler_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-18|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-19|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-20|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-21|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-22|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-23|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-24|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-25|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-26|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-27|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-28|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-29|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-30|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-10-31|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-01|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-02|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-03|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-04|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-05|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-06|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-07|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-08|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-09|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-10|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-11|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-12|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-13|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-14|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-15|56176.0|0|187579.0|0|194799.0|0|89730.0|0
0|2021-11-16|56176.0|0|187579.0|0|194799.0|0|89730.0|0
