|dates|Union_Illinois_UnitedStates.JHU_ConfirmedCases.data|Union_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Union_Illinois_UnitedStates.NYT_ConfirmedCases.data|Union_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Union_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Union_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Union_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Union_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3054.0|0|3054.0|0|48.0|0|0.0|100
0|2021-10-18|3058.0|0|3058.0|0|48.0|0|0.0|100
0|2021-10-19|3060.0|0|3060.0|0|48.0|0|0.0|100
0|2021-10-20|3065.0|0|3065.0|0|48.0|0|0.0|100
0|2021-10-21|3072.0|0|3072.0|0|48.0|0|0.0|100
0|2021-10-22|3077.0|0|3077.0|0|48.0|0|0.0|100
0|2021-10-23|3077.0|0|3077.0|0|48.0|0|0.0|100
0|2021-10-24|3077.0|0|3077.0|0|48.0|0|0.0|100
0|2021-10-25|3082.0|0|3082.0|0|48.0|0|0.0|100
0|2021-10-26|3094.0|0|3094.0|0|48.0|0|0.0|100
0|2021-10-27|3102.0|0|3102.0|0|48.0|0|0.0|100
0|2021-10-28|3107.0|0|3107.0|0|48.0|0|0.0|100
0|2021-10-29|3111.0|0|3111.0|0|48.0|0|0.0|100
0|2021-10-30|3111.0|0|3111.0|0|48.0|0|0.0|100
0|2021-10-31|3111.0|0|3111.0|0|48.0|0|0.0|100
0|2021-11-01|3113.0|0|3113.0|0|48.0|0|0.0|100
0|2021-11-02|3116.0|0|3116.0|0|48.0|0|0.0|100
0|2021-11-03|3119.0|0|3119.0|0|48.0|0|0.0|100
0|2021-11-04|3120.0|0|3120.0|0|48.0|0|0.0|100
0|2021-11-05|3127.0|0|3127.0|0|48.0|0|0.0|100
0|2021-11-06|3127.0|0|3127.0|0|48.0|0|0.0|100
0|2021-11-07|3127.0|0|3127.0|0|48.0|0|0.0|100
0|2021-11-08|3136.0|0|3136.0|0|48.0|0|0.0|100
0|2021-11-09|3144.0|0|3144.0|0|48.0|0|0.0|100
0|2021-11-10|3150.0|0|3150.0|0|48.0|0|0.0|100
0|2021-11-11|3150.0|0|3150.0|0|48.0|0|0.0|100
0|2021-11-12|3164.0|0|3164.0|0|48.0|0|0.0|100
0|2021-11-13|3164.0|0|3164.0|0|48.0|0|0.0|100
0|2021-11-14|3164.0|0|3164.0|0|48.0|0|0.0|100
0|2021-11-15|3172.0|0|3172.0|0|48.0|0|0.0|100
0|2021-11-16|3186.0|0|3186.0|0|48.0|0|0.0|100
0|2021-11-17|3198.0|0|3198.0|0|48.0|0|0.0|100
0|2021-11-18|3206.0|0|3206.0|0|48.0|0|0.0|100
0|2021-11-19|3215.0|0|3215.0|0|49.0|0|0.0|100
0|2021-11-20|3215.0|0|3215.0|0|49.0|0|0.0|100
0|2021-11-21|3215.0|0|3215.0|0|49.0|0|0.0|100
0|2021-11-22|3222.0|0|3222.0|0|50.0|0|0.0|100
0|2021-11-23|3231.0|0|3231.0|0|50.0|0|0.0|100
0|2021-11-24|3240.0|0|3240.0|0|50.0|0|0.0|100
