|dates|McMullen_Texas_UnitedStates.BLS_EmployedPopulation.data|McMullen_Texas_UnitedStates.BLS_EmployedPopulation.missing|McMullen_Texas_UnitedStates.BLS_UnemployedPopulation.data|McMullen_Texas_UnitedStates.BLS_UnemployedPopulation.missing|McMullen_Texas_UnitedStates.BLS_UnemploymentRate.data|McMullen_Texas_UnitedStates.BLS_UnemploymentRate.missing|McMullen_Texas_UnitedStates.BLS_LaborForcePopulation.data|McMullen_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-18|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-19|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-20|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-21|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-22|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-23|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-24|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-25|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-26|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-27|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-28|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-29|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-30|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-10-31|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-01|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-02|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-03|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-04|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-05|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-06|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-07|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-08|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-09|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-10|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-11|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-12|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-13|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-14|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-15|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-16|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-17|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-18|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-19|634.0|0|20.0|0|3.058103975535168|0|654.0|0
0|2021-11-20|634.0|0|20.0|0|3.058103975535168|0|654.0|0
