|dates|Marshall_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Marshall_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Marshall_Illinois_UnitedStates.Male_Total_Population.data|Marshall_Illinois_UnitedStates.Male_Total_Population.missing|Marshall_Illinois_UnitedStates.Female_Total_Population.data|Marshall_Illinois_UnitedStates.Female_Total_Population.missing|Marshall_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Marshall_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-07|2706.0|0|5725.0|0|5809.0|0|2301.0|0
0|2022-01-08|2706.0|0|5725.0|0|5809.0|0|2301.0|0
0|2022-01-09|2706.0|0|5725.0|0|5809.0|0|2301.0|0
0|2022-01-10|2706.0|0|5725.0|0|5809.0|0|2301.0|0
0|2022-01-11|2706.0|0|5725.0|0|5809.0|0|2301.0|0
0|2022-01-12|2706.0|0|5725.0|0|5809.0|0|2301.0|0
0|2022-01-13|2706.0|0|5725.0|0|5809.0|0|2301.0|0
0|2022-01-14|2706.0|0|5725.0|0|5809.0|0|2301.0|0
0|2022-01-15|2706.0|0|5725.0|0|5809.0|0|2301.0|0
0|2022-01-16|2706.0|0|5725.0|0|5809.0|0|2301.0|0
0|2022-01-17|2706.0|0|5725.0|0|5809.0|0|2301.0|0
