|dates|Moody_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Moody_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Moody_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Moody_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Moody_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Moody_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Moody_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Moody_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|763.0|0|763.0|0|20.0|0|0.0|100
0|2021-10-18|763.0|0|764.0|0|20.0|0|0.0|100
0|2021-10-19|763.0|0|767.0|0|20.0|0|0.0|100
0|2021-10-20|768.0|0|768.0|0|20.0|0|0.0|100
0|2021-10-21|768.0|0|768.0|0|20.0|0|0.0|100
0|2021-10-22|768.0|0|768.0|0|20.0|0|0.0|100
0|2021-10-23|768.0|0|768.0|0|20.0|0|0.0|100
0|2021-10-24|768.0|0|768.0|0|20.0|0|0.0|100
0|2021-10-25|774.0|0|774.0|0|20.0|0|0.0|100
0|2021-10-26|775.0|0|775.0|0|20.0|0|0.0|100
0|2021-10-27|778.0|0|778.0|0|20.0|0|0.0|100
0|2021-10-28|780.0|0|780.0|0|20.0|0|0.0|100
0|2021-10-29|783.0|0|783.0|0|20.0|0|0.0|100
0|2021-10-30|783.0|0|783.0|0|20.0|0|0.0|100
0|2021-10-31|783.0|0|783.0|0|20.0|0|0.0|100
0|2021-11-01|784.0|0|784.0|0|21.0|0|0.0|100
0|2021-11-02|787.0|0|787.0|0|21.0|0|0.0|100
0|2021-11-03|792.0|0|792.0|0|21.0|0|0.0|100
0|2021-11-04|791.0|0|791.0|0|21.0|0|0.0|100
0|2021-11-05|791.0|0|791.0|0|21.0|0|0.0|100
0|2021-11-06|791.0|0|791.0|0|21.0|0|0.0|100
0|2021-11-07|791.0|0|791.0|0|21.0|0|0.0|100
0|2021-11-08|792.0|0|792.0|0|21.0|0|0.0|100
0|2021-11-09|797.0|0|797.0|0|21.0|0|0.0|100
0|2021-11-10|797.0|0|800.0|0|21.0|0|0.0|100
0|2021-11-11|800.0|0|800.0|0|21.0|0|0.0|100
0|2021-11-12|802.0|0|802.0|0|21.0|0|0.0|100
0|2021-11-13|802.0|0|802.0|0|21.0|0|0.0|100
0|2021-11-14|802.0|0|802.0|0|21.0|0|0.0|100
0|2021-11-15|804.0|0|804.0|0|21.0|0|0.0|100
0|2021-11-16|811.0|0|811.0|0|21.0|0|0.0|100
0|2021-11-17|817.0|0|817.0|0|21.0|0|0.0|100
0|2021-11-18|828.0|0|828.0|0|21.0|0|0.0|100
0|2021-11-19|833.0|0|833.0|0|21.0|0|0.0|100
0|2021-11-20|833.0|0|833.0|0|21.0|0|0.0|100
0|2021-11-21|833.0|0|833.0|0|21.0|0|0.0|100
0|2021-11-22|837.0|0|837.0|0|21.0|0|0.0|100
0|2021-11-23|845.0|0|845.0|0|22.0|0|0.0|100
0|2021-11-24|849.0|0|849.0|0|22.0|0|0.0|100
0|2021-11-25|849.0|0|849.0|0|22.0|0|0.0|100
0|2021-11-26|849.0|0|849.0|0|22.0|0|0.0|100
0|2021-11-27|849.0|0|849.0|0|22.0|0|0.0|100
0|2021-11-28|849.0|0|849.0|0|22.0|0|0.0|100
0|2021-11-29|851.0|0|851.0|0|23.0|0|0.0|100
0|2021-11-30|858.0|0|858.0|0|23.0|0|0.0|100
0|2021-12-01|873.0|0|873.0|0|23.0|0|0.0|100
0|2021-12-02|887.0|0|887.0|0|23.0|0|0.0|100
0|2021-12-03|893.0|0|893.0|0|23.0|0|0.0|100
0|2021-12-04|893.0|0|893.0|0|23.0|0|0.0|100
