|dates|Muscatine_Iowa_UnitedStates.JHU_ConfirmedCases.data|Muscatine_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Muscatine_Iowa_UnitedStates.NYT_ConfirmedCases.data|Muscatine_Iowa_UnitedStates.NYT_ConfirmedCases.missing|Muscatine_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Muscatine_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Muscatine_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Muscatine_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6294.0|0|6294.0|0|113.0|0|0.0|100
0|2021-10-18|6294.0|0|6294.0|0|113.0|0|0.0|100
0|2021-10-19|6294.0|0|6294.0|0|113.0|0|0.0|100
0|2021-10-20|6352.0|0|6354.0|0|113.0|0|0.0|100
0|2021-10-21|6352.0|0|6354.0|0|113.0|0|0.0|100
0|2021-10-22|6352.0|0|6354.0|0|113.0|0|0.0|100
0|2021-10-23|6352.0|0|6354.0|0|113.0|0|0.0|100
0|2021-10-24|6352.0|0|6354.0|0|113.0|0|0.0|100
0|2021-10-25|6352.0|0|6354.0|0|113.0|0|0.0|100
0|2021-10-26|6352.0|0|6354.0|0|113.0|0|0.0|100
0|2021-10-27|6400.0|0|6401.0|0|115.0|0|0.0|100
0|2021-10-28|6400.0|0|6401.0|0|115.0|0|0.0|100
0|2021-10-29|6400.0|0|6401.0|0|115.0|0|0.0|100
0|2021-10-30|6400.0|0|6401.0|0|115.0|0|0.0|100
0|2021-10-31|6400.0|0|6401.0|0|115.0|0|0.0|100
0|2021-11-01|6400.0|0|6401.0|0|115.0|0|0.0|100
0|2021-11-02|6431.0|0|6401.0|0|115.0|0|0.0|100
0|2021-11-03|6431.0|0|6434.0|0|117.0|0|0.0|100
0|2021-11-04|6431.0|0|6434.0|0|117.0|0|0.0|100
0|2021-11-05|6431.0|0|6434.0|0|117.0|0|0.0|100
0|2021-11-06|6431.0|0|6434.0|0|117.0|0|0.0|100
0|2021-11-07|6431.0|0|6434.0|0|117.0|0|0.0|100
0|2021-11-08|6431.0|0|6434.0|0|117.0|0|0.0|100
0|2021-11-09|6431.0|0|6434.0|0|117.0|0|0.0|100
0|2021-11-10|6431.0|0|6504.0|0|117.0|0|0.0|100
0|2021-11-11|6497.0|0|6504.0|0|117.0|0|0.0|100
0|2021-11-12|6497.0|0|6504.0|0|117.0|0|0.0|100
0|2021-11-13|6497.0|0|6504.0|0|117.0|0|0.0|100
0|2021-11-14|6497.0|0|6504.0|0|117.0|0|0.0|100
0|2021-11-15|6497.0|0|6504.0|0|117.0|0|0.0|100
0|2021-11-16|6497.0|0|6504.0|0|117.0|0|0.0|100
0|2021-11-17|6554.0|0|6563.0|0|117.0|0|0.0|100
0|2021-11-18|6554.0|0|6563.0|0|117.0|0|0.0|100
0|2021-11-19|6554.0|0|6563.0|0|117.0|0|0.0|100
0|2021-11-20|6554.0|0|6563.0|0|117.0|0|0.0|100
0|2021-11-21|6554.0|0|6563.0|0|117.0|0|0.0|100
0|2021-11-22|6554.0|0|6563.0|0|117.0|0|0.0|100
0|2021-11-23|6554.0|0|6563.0|0|117.0|0|0.0|100
