|dates|Washington_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Washington_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Washington_Utah_UnitedStates.Male_Total_Population.data|Washington_Utah_UnitedStates.Male_Total_Population.missing|Washington_Utah_UnitedStates.Female_Total_Population.data|Washington_Utah_UnitedStates.Female_Total_Population.missing|Washington_Utah_UnitedStates.MaleAndFemale_Under18_Population.data|Washington_Utah_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-18|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-19|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-20|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-21|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-22|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-23|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-24|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-25|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-26|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-27|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-28|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-29|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-30|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-10-31|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-01|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-02|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-03|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-04|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-05|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-06|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-07|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-08|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-09|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-10|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-11|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-12|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-13|36844.0|0|85053.0|0|86647.0|0|44808.0|0
