|dates|SanMiguel_NewMexico_UnitedStates.AveragePrecipitationTotal.data|SanMiguel_NewMexico_UnitedStates.AveragePrecipitationTotal.missing|SanMiguel_NewMexico_UnitedStates.AveragePrecipitation.data|SanMiguel_NewMexico_UnitedStates.AveragePrecipitation.missing|SanMiguel_NewMexico_UnitedStates.AverageWindDirection.data|SanMiguel_NewMexico_UnitedStates.AverageWindDirection.missing|SanMiguel_NewMexico_UnitedStates.AverageWindSpeed.data|SanMiguel_NewMexico_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|170.0|0|8.0|0
0|2021-10-18|0.0|0|0.0|0|191.66666666666666|0|12.583333333333334|0
0|2021-10-19|0.0|0|0.0|0|212.08333333333334|0|16.666666666666668|0
0|2021-10-20|0.0|0|0.0|0|236.66666666666666|0|3.75|0
0|2021-10-21|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-10-22|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-10-23|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-10-24|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-10-25|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-10-26|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-10-27|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-10-28|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-10-29|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-10-30|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-10-31|0.0|0|0.0|0|250.0|0|3.0|0
0|2021-11-01|0.0|0|0.0|0|222.29166666666666|0|4.625|0
0|2021-11-02|0.0|0|0.0|0|160.41666666666666|0|11.395833333333334|0
0|2021-11-03|0.0|0|0.0|0|88.41666666666667|0|5.309722222222223|0
0|2021-11-04|0.0|0|0.0|0|60.0|0|6.0|0
0|2021-11-05|0.0|0|0.0|0|60.0|0|6.0|0
0|2021-11-06|0.0|0|0.0|0|60.0|0|6.0|0
0|2021-11-07|0.0|0|0.0|0|60.0|0|6.0|0
0|2021-11-08|0.0|0|0.0|0|60.0|0|6.0|0
0|2021-11-09|0.0|0|0.0|0|60.0|0|6.0|0
0|2021-11-10|0.0|0|0.0|0|60.0|0|6.0|0
0|2021-11-11|0.0|0|0.0|0|60.0|0|6.0|0
0|2021-11-12|0.0|0|0.0|0|60.0|0|6.0|0
0|2021-11-13|0.0|0|0.0|0|60.0|0|6.0|0
