|dates|Johnson_Indiana_UnitedStates.JHU_ConfirmedCases.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Johnson_Indiana_UnitedStates.NYT_ConfirmedCases.data|Johnson_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Johnson_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Johnson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|24821.0|0|24894.0|0|440.0|0|0.0|100
0|2021-10-18|24902.0|0|24975.0|0|443.0|0|0.0|100
0|2021-10-19|24961.0|0|25034.0|0|444.0|0|0.0|100
0|2021-10-20|25007.0|0|25080.0|0|444.0|0|0.0|100
0|2021-10-21|25056.0|0|25129.0|0|445.0|0|0.0|100
0|2021-10-22|25107.0|0|25180.0|0|445.0|0|0.0|100
0|2021-10-23|25107.0|0|25180.0|0|445.0|0|0.0|100
0|2021-10-24|25107.0|0|25180.0|0|445.0|0|0.0|100
0|2021-10-25|25196.0|0|25269.0|0|446.0|0|0.0|100
0|2021-10-26|25224.0|0|25297.0|0|447.0|0|0.0|100
0|2021-10-27|25261.0|0|25334.0|0|448.0|0|0.0|100
0|2021-10-28|25299.0|0|25372.0|0|448.0|0|0.0|100
0|2021-10-29|25335.0|0|25408.0|0|448.0|0|0.0|100
0|2021-10-30|25335.0|0|25408.0|0|448.0|0|0.0|100
0|2021-10-31|25335.0|0|25408.0|0|448.0|0|0.0|100
0|2021-11-01|25440.0|0|25513.0|0|450.0|0|0.0|100
0|2021-11-02|25468.0|0|25541.0|0|451.0|0|0.0|100
0|2021-11-03|25509.0|0|25582.0|0|453.0|0|0.0|100
0|2021-11-04|25550.0|0|25623.0|0|454.0|0|0.0|100
0|2021-11-05|25599.0|0|25672.0|0|456.0|0|0.0|100
0|2021-11-06|25599.0|0|25672.0|0|456.0|0|0.0|100
0|2021-11-07|25599.0|0|25672.0|0|456.0|0|0.0|100
0|2021-11-08|25691.0|0|25764.0|0|456.0|0|0.0|100
0|2021-11-09|25743.0|0|25816.0|0|456.0|0|0.0|100
0|2021-11-10|25788.0|0|25861.0|0|456.0|0|0.0|100
0|2021-11-11|25938.0|0|26011.0|0|456.0|0|0.0|100
0|2021-11-12|26000.0|0|26073.0|0|456.0|0|0.0|100
0|2021-11-13|26000.0|0|26073.0|0|456.0|0|0.0|100
0|2021-11-14|26000.0|0|26073.0|0|456.0|0|0.0|100
0|2021-11-15|26134.0|0|26207.0|0|456.0|0|0.0|100
0|2021-11-16|26227.0|0|26300.0|0|457.0|0|0.0|100
0|2021-11-17|26324.0|0|26397.0|0|457.0|0|0.0|100
0|2021-11-18|26421.0|0|26494.0|0|458.0|0|0.0|100
0|2021-11-19|26508.0|0|26581.0|0|459.0|0|0.0|100
0|2021-11-20|26508.0|0|26581.0|0|459.0|0|0.0|100
0|2021-11-21|26508.0|0|26581.0|0|459.0|0|0.0|100
0|2021-11-22|26689.0|0|26762.0|0|460.0|0|0.0|100
0|2021-11-23|26797.0|0|26870.0|0|462.0|0|0.0|100
0|2021-11-24|26876.0|0|26949.0|0|463.0|0|0.0|100
0|2021-11-25|26876.0|0|26949.0|0|463.0|0|0.0|100
0|2021-11-26|26876.0|0|26949.0|0|463.0|0|0.0|100
0|2021-11-27|26876.0|0|26949.0|0|463.0|0|0.0|100
0|2021-11-28|26876.0|0|26949.0|0|463.0|0|0.0|100
0|2021-11-29|27179.0|0|27252.0|0|463.0|0|0.0|100
0|2021-11-30|27293.0|0|27366.0|0|465.0|0|0.0|100
0|2021-12-01|27431.0|0|27504.0|0|465.0|0|0.0|100
0|2021-12-02|27559.0|0|27632.0|0|465.0|0|0.0|100
0|2021-12-03|27696.0|0|27769.0|0|467.0|0|0.0|100
0|2021-12-04|27696.0|0|27769.0|0|467.0|0|0.0|100
0|2021-12-05|27696.0|0|27769.0|0|467.0|0|0.0|100
0|2021-12-06|27963.0|0|28037.0|0|467.0|0|0.0|100
0|2021-12-07|28050.0|0|28124.0|0|467.0|0|0.0|100
0|2021-12-08|28138.0|0|28212.0|0|469.0|0|0.0|100
0|2021-12-09|28245.0|0|28319.0|0|470.0|0|0.0|100
