|dates|Custer_Montana_UnitedStates.JHU_ConfirmedCases.data|Custer_Montana_UnitedStates.JHU_ConfirmedCases.missing|Custer_Montana_UnitedStates.NYT_ConfirmedCases.data|Custer_Montana_UnitedStates.NYT_ConfirmedCases.missing|Custer_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Custer_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Custer_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Custer_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2003.0|0|2003.0|0|29.0|0|0.0|100
0|2021-10-18|2020.0|0|2020.0|0|29.0|0|0.0|100
0|2021-10-19|2049.0|0|2049.0|0|32.0|0|0.0|100
0|2021-10-20|2064.0|0|2064.0|0|32.0|0|0.0|100
0|2021-10-21|2087.0|0|2087.0|0|33.0|0|0.0|100
0|2021-10-22|2106.0|0|2106.0|0|33.0|0|0.0|100
0|2021-10-23|2106.0|0|2106.0|0|33.0|0|0.0|100
0|2021-10-24|2106.0|0|2106.0|0|33.0|0|0.0|100
0|2021-10-25|2118.0|0|2118.0|0|33.0|0|0.0|100
0|2021-10-26|2126.0|0|2126.0|0|33.0|0|0.0|100
0|2021-10-27|2145.0|0|2145.0|0|34.0|0|0.0|100
0|2021-10-28|2158.0|0|2158.0|0|34.0|0|0.0|100
0|2021-10-29|2164.0|0|2164.0|0|35.0|0|0.0|100
0|2021-10-30|2164.0|0|2164.0|0|35.0|0|0.0|100
0|2021-10-31|2164.0|0|2164.0|0|35.0|0|0.0|100
0|2021-11-01|2168.0|0|2168.0|0|35.0|0|0.0|100
0|2021-11-02|2198.0|0|2198.0|0|35.0|0|0.0|100
0|2021-11-03|2202.0|0|2202.0|0|36.0|0|0.0|100
0|2021-11-04|2221.0|0|2221.0|0|36.0|0|0.0|100
0|2021-11-05|2225.0|0|2225.0|0|37.0|0|0.0|100
0|2021-11-06|2225.0|0|2225.0|0|37.0|0|0.0|100
0|2021-11-07|2225.0|0|2225.0|0|37.0|0|0.0|100
0|2021-11-08|2238.0|0|2238.0|0|37.0|0|0.0|100
0|2021-11-09|2249.0|0|2249.0|0|37.0|0|0.0|100
0|2021-11-10|2255.0|0|2255.0|0|37.0|0|0.0|100
0|2021-11-11|2255.0|0|2255.0|0|37.0|0|0.0|100
0|2021-11-12|2277.0|0|2277.0|0|37.0|0|0.0|100
0|2021-11-13|2277.0|0|2277.0|0|37.0|0|0.0|100
0|2021-11-14|2277.0|0|2277.0|0|37.0|0|0.0|100
0|2021-11-15|2288.0|0|2288.0|0|37.0|0|0.0|100
0|2021-11-16|2328.0|0|2328.0|0|37.0|0|0.0|100
0|2021-11-17|2334.0|0|2334.0|0|37.0|0|0.0|100
0|2021-11-18|2348.0|0|2348.0|0|37.0|0|0.0|100
0|2021-11-19|2351.0|0|2351.0|0|37.0|0|0.0|100
0|2021-11-20|2351.0|0|2351.0|0|37.0|0|0.0|100
0|2021-11-21|2351.0|0|2351.0|0|37.0|0|0.0|100
0|2021-11-22|2352.0|0|2352.0|0|38.0|0|0.0|100
0|2021-11-23|2363.0|0|2363.0|0|38.0|0|0.0|100
0|2021-11-24|2365.0|0|2365.0|0|38.0|0|0.0|100
0|2021-11-25|2365.0|0|2365.0|0|38.0|0|0.0|100
0|2021-11-26|2365.0|0|2371.0|0|38.0|0|0.0|100
0|2021-11-27|2371.0|0|2371.0|0|39.0|0|0.0|100
0|2021-11-28|2371.0|0|2371.0|0|39.0|0|0.0|100
0|2021-11-29|2373.0|0|2373.0|0|39.0|0|0.0|100
0|2021-11-30|2376.0|0|2376.0|0|39.0|0|0.0|100
0|2021-12-01|2381.0|0|2381.0|0|39.0|0|0.0|100
0|2021-12-02|2390.0|0|2390.0|0|39.0|0|0.0|100
0|2021-12-03|2392.0|0|2392.0|0|39.0|0|0.0|100
0|2021-12-04|2392.0|0|2392.0|0|39.0|0|0.0|100
0|2021-12-05|2392.0|0|2392.0|0|39.0|0|0.0|100
0|2021-12-06|2396.0|0|2396.0|0|39.0|0|0.0|100
0|2021-12-07|2408.0|0|2408.0|0|39.0|0|0.0|100
0|2021-12-08|2408.0|0|2408.0|0|39.0|0|0.0|100
0|2021-12-09|2412.0|0|2412.0|0|40.0|0|0.0|100
0|2021-12-10|2411.0|0|2411.0|0|40.0|0|0.0|100
0|2021-12-11|2411.0|0|2411.0|0|40.0|0|0.0|100
0|2021-12-12|2411.0|0|2411.0|0|40.0|0|0.0|100
0|2021-12-13|2411.0|0|2411.0|0|40.0|0|0.0|100
0|2021-12-14|2411.0|0|2412.0|0|40.0|0|0.0|100
0|2021-12-15|2417.0|0|2417.0|0|40.0|0|0.0|100
0|2021-12-16|2417.0|0|2417.0|0|40.0|0|0.0|100
