|dates|Douglas_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Douglas_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Douglas_Minnesota_UnitedStates.Male_Total_Population.data|Douglas_Minnesota_UnitedStates.Male_Total_Population.missing|Douglas_Minnesota_UnitedStates.Female_Total_Population.data|Douglas_Minnesota_UnitedStates.Female_Total_Population.missing|Douglas_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Douglas_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-18|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-19|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-20|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-21|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-22|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-23|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-24|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-25|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-26|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-27|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-28|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-29|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-30|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-10-31|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-01|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-02|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-03|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-04|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-05|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-06|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-07|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-08|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-09|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-10|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-11|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-12|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-13|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-14|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-15|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-16|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-17|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-18|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-19|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-20|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-21|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-22|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-23|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-24|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-25|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-26|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-27|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-28|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-29|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-11-30|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-12-01|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-12-02|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-12-03|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-12-04|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-12-05|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-12-06|8651.0|0|18993.0|0|18971.0|0|8182.0|0
0|2021-12-07|8651.0|0|18993.0|0|18971.0|0|8182.0|0
