|dates|Osage_Kansas_UnitedStates.JHU_ConfirmedCases.data|Osage_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Osage_Kansas_UnitedStates.NYT_ConfirmedCases.data|Osage_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Osage_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Osage_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Osage_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Osage_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1944.0|0|1944.0|0|34.0|0|0.0|100
0|2021-10-18|1953.0|0|1953.0|0|34.0|0|0.0|100
0|2021-10-19|1953.0|0|1953.0|0|34.0|0|0.0|100
0|2021-10-20|1960.0|0|1960.0|0|34.0|0|0.0|100
0|2021-10-21|1960.0|0|1960.0|0|34.0|0|0.0|100
0|2021-10-22|1972.0|0|1972.0|0|34.0|0|0.0|100
0|2021-10-23|1972.0|0|1972.0|0|34.0|0|0.0|100
0|2021-10-24|1972.0|0|1972.0|0|34.0|0|0.0|100
0|2021-10-25|1975.0|0|1975.0|0|35.0|0|0.0|100
0|2021-10-26|1975.0|0|1975.0|0|35.0|0|0.0|100
0|2021-10-27|1991.0|0|1991.0|0|37.0|0|0.0|100
0|2021-10-28|1991.0|0|1991.0|0|37.0|0|0.0|100
0|2021-10-29|2003.0|0|2003.0|0|37.0|0|0.0|100
0|2021-10-30|2003.0|0|2003.0|0|37.0|0|0.0|100
0|2021-10-31|2003.0|0|2003.0|0|37.0|0|0.0|100
0|2021-11-01|2009.0|0|2009.0|0|37.0|0|0.0|100
0|2021-11-02|2009.0|0|2009.0|0|37.0|0|0.0|100
0|2021-11-03|2031.0|0|2031.0|0|38.0|0|0.0|100
0|2021-11-04|2031.0|0|2031.0|0|38.0|0|0.0|100
0|2021-11-05|2044.0|0|2044.0|0|38.0|0|0.0|100
0|2021-11-06|2044.0|0|2044.0|0|38.0|0|0.0|100
0|2021-11-07|2044.0|0|2044.0|0|38.0|0|0.0|100
0|2021-11-08|2060.0|0|2060.0|0|38.0|0|0.0|100
0|2021-11-09|2060.0|0|2060.0|0|38.0|0|0.0|100
0|2021-11-10|2060.0|0|2081.0|0|38.0|0|0.0|100
0|2021-11-11|2081.0|0|2081.0|0|39.0|0|0.0|100
0|2021-11-12|2106.0|0|2106.0|0|39.0|0|0.0|100
0|2021-11-13|2106.0|0|2106.0|0|39.0|0|0.0|100
0|2021-11-14|2106.0|0|2106.0|0|39.0|0|0.0|100
0|2021-11-15|2119.0|0|2119.0|0|39.0|0|0.0|100
0|2021-11-16|2119.0|0|2119.0|0|39.0|0|0.0|100
0|2021-11-17|2143.0|0|2143.0|0|39.0|0|0.0|100
0|2021-11-18|2143.0|0|2143.0|0|39.0|0|0.0|100
0|2021-11-19|2154.0|0|2154.0|0|39.0|0|0.0|100
0|2021-11-20|2154.0|0|2154.0|0|39.0|0|0.0|100
0|2021-11-21|2154.0|0|2154.0|0|39.0|0|0.0|100
0|2021-11-22|2177.0|0|2177.0|0|39.0|0|0.0|100
0|2021-11-23|2177.0|0|2177.0|0|39.0|0|0.0|100
0|2021-11-24|2177.0|0|2199.0|0|39.0|0|0.0|100
0|2021-11-25|2199.0|0|2199.0|0|39.0|0|0.0|100
0|2021-11-26|2199.0|0|2199.0|0|39.0|0|0.0|100
0|2021-11-27|2199.0|0|2199.0|0|39.0|0|0.0|100
0|2021-11-28|2199.0|0|2199.0|0|39.0|0|0.0|100
0|2021-11-29|2217.0|0|2217.0|0|39.0|0|0.0|100
0|2021-11-30|2217.0|0|2217.0|0|39.0|0|0.0|100
0|2021-12-01|2248.0|0|2248.0|0|39.0|0|0.0|100
0|2021-12-02|2248.0|0|2248.0|0|39.0|0|0.0|100
0|2021-12-03|2248.0|0|2277.0|0|39.0|0|0.0|100
0|2021-12-04|2277.0|0|2277.0|0|39.0|0|0.0|100
0|2021-12-05|2277.0|0|2277.0|0|39.0|0|0.0|100
0|2021-12-06|2298.0|0|2298.0|0|39.0|0|0.0|100
0|2021-12-07|2298.0|0|2298.0|0|39.0|0|0.0|100
0|2021-12-08|2334.0|0|2334.0|0|39.0|0|0.0|100
0|2021-12-09|2334.0|0|2334.0|0|39.0|0|0.0|100
0|2021-12-10|2370.0|0|2370.0|0|39.0|0|0.0|100
0|2021-12-11|2370.0|0|2370.0|0|39.0|0|0.0|100
0|2021-12-12|2370.0|0|2370.0|0|39.0|0|0.0|100
0|2021-12-13|2394.0|0|2394.0|0|39.0|0|0.0|100
0|2021-12-14|2394.0|0|2394.0|0|39.0|0|0.0|100
0|2021-12-15|2428.0|0|2428.0|0|39.0|0|0.0|100
0|2021-12-16|2428.0|0|2428.0|0|39.0|0|0.0|100
0|2021-12-17|2449.0|0|2449.0|0|39.0|0|0.0|100
0|2021-12-18|2449.0|0|2449.0|0|39.0|0|0.0|100
0|2021-12-19|2449.0|0|2449.0|0|39.0|0|0.0|100
0|2021-12-20|2472.0|0|2472.0|0|39.0|0|0.0|100
0|2021-12-21|2472.0|0|2472.0|0|39.0|0|0.0|100
0|2021-12-22|2517.0|0|2517.0|0|39.0|0|0.0|100
0|2021-12-23|2517.0|0|2517.0|0|39.0|0|0.0|100
0|2021-12-24|2517.0|0|2517.0|0|39.0|0|0.0|100
0|2021-12-25|2517.0|0|2517.0|0|39.0|0|0.0|100
0|2021-12-26|2517.0|0|2517.0|0|39.0|0|0.0|100
0|2021-12-27|2555.0|0|2555.0|0|39.0|0|0.0|100
0|2021-12-28|2555.0|0|2555.0|0|39.0|0|0.0|100
0|2021-12-29|2630.0|0|2630.0|0|39.0|0|0.0|100
0|2021-12-30|2630.0|0|2630.0|0|39.0|0|0.0|100
0|2021-12-31|2630.0|0|2630.0|0|39.0|0|0.0|100
0|2022-01-01|2630.0|0|2630.0|0|39.0|0|0.0|100
0|2022-01-02|2630.0|0|2630.0|0|39.0|0|0.0|100
0|2022-01-03|2715.0|0|2715.0|0|39.0|0|0.0|100
0|2022-01-04|2715.0|0|2715.0|0|39.0|0|0.0|100
0|2022-01-05|2819.0|0|2819.0|0|39.0|0|0.0|100
0|2022-01-06|2819.0|0|2819.0|0|39.0|0|0.0|100
0|2022-01-07|2896.0|0|2896.0|0|40.0|0|0.0|100
0|2022-01-08|2896.0|0|2896.0|0|40.0|0|0.0|100
0|2022-01-09|2896.0|0|2896.0|0|40.0|0|0.0|100
0|2022-01-10|2939.0|0|2939.0|0|40.0|0|0.0|100
0|2022-01-11|2939.0|0|2939.0|0|40.0|0|0.0|100
0|2022-01-12|2939.0|0|2992.0|0|40.0|0|0.0|100
0|2022-01-13|2939.0|0|3045.0|0|40.0|0|0.0|100
0|2022-01-14|3179.0|0|3179.0|0|40.0|0|0.0|100
0|2022-01-15|3179.0|0|3179.0|0|40.0|0|0.0|100
0|2022-01-16|3179.0|0|3179.0|0|40.0|0|0.0|100
0|2022-01-17|3179.0|0|0.0|100|40.0|0|0.0|100
