|dates|Adams_Indiana_UnitedStates.JHU_ConfirmedCases.data|Adams_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Adams_Indiana_UnitedStates.NYT_ConfirmedCases.data|Adams_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Adams_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Adams_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Adams_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Adams_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4727.0|0|4798.0|0|73.0|0|0.0|100
0|2021-10-18|4760.0|0|4831.0|0|73.0|0|0.0|100
0|2021-10-19|4768.0|0|4838.0|0|75.0|0|0.0|100
0|2021-10-20|4797.0|0|4867.0|0|75.0|0|0.0|100
0|2021-10-21|4815.0|0|4885.0|0|76.0|0|0.0|100
0|2021-10-22|4825.0|0|4895.0|0|76.0|0|0.0|100
0|2021-10-23|4825.0|0|4895.0|0|76.0|0|0.0|100
0|2021-10-24|4825.0|0|4895.0|0|76.0|0|0.0|100
0|2021-10-25|4837.0|0|4907.0|0|77.0|0|0.0|100
0|2021-10-26|4848.0|0|4919.0|0|76.0|0|0.0|100
0|2021-10-27|4872.0|0|4943.0|0|76.0|0|0.0|100
0|2021-10-28|4888.0|0|4958.0|0|77.0|0|0.0|100
0|2021-10-29|4903.0|0|4973.0|0|77.0|0|0.0|100
0|2021-10-30|4903.0|0|4973.0|0|77.0|0|0.0|100
0|2021-10-31|4903.0|0|4973.0|0|77.0|0|0.0|100
0|2021-11-01|4924.0|0|4994.0|0|78.0|0|0.0|100
0|2021-11-02|4939.0|0|5009.0|0|78.0|0|0.0|100
0|2021-11-03|4953.0|0|5023.0|0|78.0|0|0.0|100
0|2021-11-04|4969.0|0|5039.0|0|79.0|0|0.0|100
0|2021-11-05|4985.0|0|5055.0|0|79.0|0|0.0|100
0|2021-11-06|4985.0|0|5055.0|0|79.0|0|0.0|100
0|2021-11-07|4985.0|0|5055.0|0|79.0|0|0.0|100
0|2021-11-08|5012.0|0|5082.0|0|79.0|0|0.0|100
0|2021-11-09|5025.0|0|5095.0|0|79.0|0|0.0|100
0|2021-11-10|5025.0|0|5123.0|0|79.0|0|0.0|100
0|2021-11-11|5109.0|0|5181.0|0|79.0|0|0.0|100
0|2021-11-12|5117.0|0|5190.0|0|79.0|0|0.0|100
0|2021-11-13|5117.0|0|5190.0|0|79.0|0|0.0|100
0|2021-11-14|5117.0|0|5190.0|0|79.0|0|0.0|100
0|2021-11-15|5141.0|0|5214.0|0|79.0|0|0.0|100
0|2021-11-16|5148.0|0|5221.0|0|79.0|0|0.0|100
0|2021-11-17|5166.0|0|5239.0|0|79.0|0|0.0|100
0|2021-11-18|5197.0|0|5270.0|0|80.0|0|0.0|100
0|2021-11-19|5217.0|0|5290.0|0|80.0|0|0.0|100
0|2021-11-20|5217.0|0|5290.0|0|80.0|0|0.0|100
0|2021-11-21|5217.0|0|5290.0|0|80.0|0|0.0|100
0|2021-11-22|5245.0|0|5317.0|0|81.0|0|0.0|100
0|2021-11-23|5255.0|0|5327.0|0|81.0|0|0.0|100
0|2021-11-24|5278.0|0|5350.0|0|81.0|0|0.0|100
0|2021-11-25|5278.0|0|5350.0|0|81.0|0|0.0|100
0|2021-11-26|5278.0|0|5350.0|0|81.0|0|0.0|100
0|2021-11-27|5278.0|0|5350.0|0|81.0|0|0.0|100
0|2021-11-28|5278.0|0|5350.0|0|81.0|0|0.0|100
0|2021-11-29|5323.0|0|5396.0|0|81.0|0|0.0|100
0|2021-11-30|5337.0|0|5410.0|0|81.0|0|0.0|100
0|2021-12-01|5379.0|0|5452.0|0|81.0|0|0.0|100
0|2021-12-02|5379.0|0|5478.0|0|81.0|0|0.0|100
0|2021-12-03|5422.0|0|5495.0|0|81.0|0|0.0|100
0|2021-12-04|5422.0|0|5495.0|0|81.0|0|0.0|100
0|2021-12-05|5422.0|0|5495.0|0|81.0|0|0.0|100
0|2021-12-06|5479.0|0|5552.0|0|81.0|0|0.0|100
0|2021-12-07|5487.0|0|5560.0|0|81.0|0|0.0|100
0|2021-12-08|5519.0|0|5592.0|0|81.0|0|0.0|100
0|2021-12-09|5556.0|0|5629.0|0|81.0|0|0.0|100
0|2021-12-10|5586.0|0|5659.0|0|81.0|0|0.0|100
0|2021-12-11|5586.0|0|5659.0|0|81.0|0|0.0|100
0|2021-12-12|5586.0|0|5659.0|0|81.0|0|0.0|100
0|2021-12-13|5643.0|0|5716.0|0|82.0|0|0.0|100
0|2021-12-14|5643.0|0|5726.0|0|82.0|0|0.0|100
0|2021-12-15|5691.0|0|5764.0|0|85.0|0|0.0|100
0|2021-12-16|5719.0|0|5792.0|0|86.0|0|0.0|100
0|2021-12-17|5733.0|0|5806.0|0|86.0|0|0.0|100
0|2021-12-18|5733.0|0|5806.0|0|86.0|0|0.0|100
0|2021-12-19|5733.0|0|5806.0|0|86.0|0|0.0|100
0|2021-12-20|5762.0|0|5835.0|0|87.0|0|0.0|100
0|2021-12-21|5770.0|0|5843.0|0|89.0|0|0.0|100
0|2021-12-22|5786.0|0|5859.0|0|90.0|0|0.0|100
0|2021-12-23|5786.0|0|5859.0|0|90.0|0|0.0|100
0|2021-12-24|5786.0|0|5859.0|0|90.0|0|0.0|100
0|2021-12-25|5786.0|0|5859.0|0|90.0|0|0.0|100
0|2021-12-26|5786.0|0|5859.0|0|90.0|0|0.0|100
0|2021-12-27|5852.0|0|5925.0|0|92.0|0|0.0|100
0|2021-12-28|5861.0|0|5934.0|0|92.0|0|0.0|100
0|2021-12-29|5882.0|0|5955.0|0|92.0|0|0.0|100
0|2021-12-30|5915.0|0|5987.0|0|93.0|0|0.0|100
0|2021-12-31|5915.0|0|5987.0|0|93.0|0|0.0|100
0|2022-01-01|5915.0|0|5987.0|0|93.0|0|0.0|100
