|dates|Lassen_California_UnitedStates.BLS_EmployedPopulation.data|Lassen_California_UnitedStates.BLS_EmployedPopulation.missing|Lassen_California_UnitedStates.BLS_UnemployedPopulation.data|Lassen_California_UnitedStates.BLS_UnemployedPopulation.missing|Lassen_California_UnitedStates.BLS_UnemploymentRate.data|Lassen_California_UnitedStates.BLS_UnemploymentRate.missing|Lassen_California_UnitedStates.BLS_LaborForcePopulation.data|Lassen_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-18|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-19|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-20|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-21|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-22|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-23|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-24|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-25|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-26|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-27|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-28|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-29|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-30|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-10-31|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-01|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-02|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-03|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-04|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-05|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-06|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-07|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-08|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-09|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-10|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-11|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-12|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-13|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-14|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-15|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-16|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-17|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-18|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-19|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-20|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-21|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-22|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-23|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-24|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-25|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-26|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-27|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-28|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-29|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-11-30|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-01|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-02|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-03|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-04|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-05|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-06|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-07|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-08|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-09|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-10|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-11|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-12|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-13|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-14|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-15|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-16|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-17|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-18|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-19|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-20|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-21|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-22|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-23|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
0|2021-12-24|9111.0|0|512.0|0|5.320586095812117|0|9623.0|0
