|dates|Lake_Indiana_UnitedStates.JHU_ConfirmedCases.data|Lake_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Lake_Indiana_UnitedStates.NYT_ConfirmedCases.data|Lake_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Lake_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Lake_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Lake_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Lake_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|65823.0|0|65914.0|0|1151.0|0|0.0|100
0|2021-10-18|66004.0|0|66095.0|0|1156.0|0|0.0|100
0|2021-10-19|66094.0|0|66185.0|0|1157.0|0|0.0|100
0|2021-10-20|66185.0|0|66276.0|0|1159.0|0|0.0|100
0|2021-10-21|66301.0|0|66392.0|0|1164.0|0|0.0|100
0|2021-10-22|66410.0|0|66502.0|0|1166.0|0|0.0|100
0|2021-10-23|66410.0|0|66502.0|0|1166.0|0|0.0|100
0|2021-10-24|66410.0|0|66502.0|0|1166.0|0|0.0|100
0|2021-10-25|66618.0|0|66710.0|0|1167.0|0|0.0|100
0|2021-10-26|66726.0|0|66818.0|0|1170.0|0|0.0|100
0|2021-10-27|66814.0|0|66906.0|0|1176.0|0|0.0|100
0|2021-10-28|66914.0|0|67006.0|0|1177.0|0|0.0|100
0|2021-10-29|67026.0|0|67118.0|0|1177.0|0|0.0|100
0|2021-10-30|67026.0|0|67118.0|0|1177.0|0|0.0|100
0|2021-10-31|67026.0|0|67118.0|0|1177.0|0|0.0|100
0|2021-11-01|67288.0|0|67380.0|0|1181.0|0|0.0|100
0|2021-11-02|67385.0|0|67477.0|0|1183.0|0|0.0|100
0|2021-11-03|67457.0|0|67549.0|0|1188.0|0|0.0|100
0|2021-11-04|67580.0|0|67672.0|0|1189.0|0|0.0|100
0|2021-11-05|67703.0|0|67796.0|0|1189.0|0|0.0|100
0|2021-11-06|67703.0|0|67796.0|0|1189.0|0|0.0|100
0|2021-11-07|67703.0|0|67796.0|0|1189.0|0|0.0|100
