|dates|Marion_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Marion_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Marion_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Marion_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Marion_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3824.0|0|3824.0|0|43.0|0|0.0|100
0|2021-10-18|3839.0|0|3839.0|0|43.0|0|0.0|100
0|2021-10-19|3845.0|0|3845.0|0|43.0|0|0.0|100
0|2021-10-20|3846.0|0|3846.0|0|43.0|0|0.0|100
0|2021-10-21|3854.0|0|3854.0|0|43.0|0|0.0|100
0|2021-10-22|3876.0|0|3876.0|0|45.0|0|0.0|100
0|2021-10-23|3876.0|0|3876.0|0|45.0|0|0.0|100
0|2021-10-24|3876.0|0|3876.0|0|45.0|0|0.0|100
0|2021-10-25|3892.0|0|3892.0|0|46.0|0|0.0|100
0|2021-10-26|3897.0|0|3897.0|0|46.0|0|0.0|100
0|2021-10-27|3902.0|0|3902.0|0|46.0|0|0.0|100
0|2021-10-28|3912.0|0|3912.0|0|46.0|0|0.0|100
0|2021-10-29|3919.0|0|3919.0|0|47.0|0|0.0|100
0|2021-10-30|3919.0|0|3919.0|0|47.0|0|0.0|100
0|2021-10-31|3919.0|0|3919.0|0|47.0|0|0.0|100
0|2021-11-01|3934.0|0|3934.0|0|47.0|0|0.0|100
0|2021-11-02|3941.0|0|3941.0|0|47.0|0|0.0|100
0|2021-11-03|3946.0|0|3946.0|0|47.0|0|0.0|100
0|2021-11-04|3955.0|0|3955.0|0|47.0|0|0.0|100
0|2021-11-05|3958.0|0|3958.0|0|48.0|0|0.0|100
0|2021-11-06|3958.0|0|3958.0|0|48.0|0|0.0|100
0|2021-11-07|3958.0|0|3958.0|0|48.0|0|0.0|100
0|2021-11-08|3964.0|0|3964.0|0|48.0|0|0.0|100
0|2021-11-09|3972.0|0|3972.0|0|49.0|0|0.0|100
0|2021-11-10|3977.0|0|3977.0|0|49.0|0|0.0|100
0|2021-11-11|3977.0|0|3977.0|0|49.0|0|0.0|100
0|2021-11-12|3987.0|0|3987.0|0|49.0|0|0.0|100
0|2021-11-13|3987.0|0|3987.0|0|49.0|0|0.0|100
0|2021-11-14|3987.0|0|3987.0|0|49.0|0|0.0|100
0|2021-11-15|4007.0|0|4007.0|0|49.0|0|0.0|100
0|2021-11-16|4016.0|0|4016.0|0|49.0|0|0.0|100
0|2021-11-17|4033.0|0|4033.0|0|49.0|0|0.0|100
0|2021-11-18|4038.0|0|4038.0|0|50.0|0|0.0|100
0|2021-11-19|4049.0|0|4049.0|0|51.0|0|0.0|100
0|2021-11-20|4049.0|0|4049.0|0|51.0|0|0.0|100
0|2021-11-21|4049.0|0|4049.0|0|51.0|0|0.0|100
0|2021-11-22|4078.0|0|4078.0|0|51.0|0|0.0|100
0|2021-11-23|4085.0|0|4085.0|0|51.0|0|0.0|100
0|2021-11-24|4107.0|0|4107.0|0|51.0|0|0.0|100
0|2021-11-25|4107.0|0|4107.0|0|51.0|0|0.0|100
0|2021-11-26|4107.0|0|4107.0|0|51.0|0|0.0|100
0|2021-11-27|4107.0|0|4107.0|0|51.0|0|0.0|100
0|2021-11-28|4107.0|0|4107.0|0|51.0|0|0.0|100
0|2021-11-29|4135.0|0|4135.0|0|52.0|0|0.0|100
0|2021-11-30|4157.0|0|4157.0|0|52.0|0|0.0|100
0|2021-12-01|4171.0|0|4171.0|0|53.0|0|0.0|100
0|2021-12-02|4179.0|0|4179.0|0|53.0|0|0.0|100
0|2021-12-03|4192.0|0|4192.0|0|53.0|0|0.0|100
0|2021-12-04|4192.0|0|4192.0|0|53.0|0|0.0|100
0|2021-12-05|4192.0|0|4192.0|0|53.0|0|0.0|100
0|2021-12-06|4216.0|0|4216.0|0|54.0|0|0.0|100
0|2021-12-07|4229.0|0|4229.0|0|54.0|0|0.0|100
0|2021-12-08|4241.0|0|4241.0|0|54.0|0|0.0|100
0|2021-12-09|4261.0|0|4261.0|0|55.0|0|0.0|100
0|2021-12-10|4274.0|0|4274.0|0|57.0|0|0.0|100
0|2021-12-11|4274.0|0|4274.0|0|57.0|0|0.0|100
0|2021-12-12|4274.0|0|4274.0|0|57.0|0|0.0|100
