|dates|EastBatonRouge_Louisiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|EastBatonRouge_Louisiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|EastBatonRouge_Louisiana_UnitedStates.Male_Total_Population.data|EastBatonRouge_Louisiana_UnitedStates.Male_Total_Population.missing|EastBatonRouge_Louisiana_UnitedStates.Female_Total_Population.data|EastBatonRouge_Louisiana_UnitedStates.Female_Total_Population.missing|EastBatonRouge_Louisiana_UnitedStates.MaleAndFemale_Under18_Population.data|EastBatonRouge_Louisiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-18|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-19|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-20|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-21|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-22|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-23|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-24|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-25|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-26|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-27|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-28|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-29|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-30|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-10-31|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-01|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-02|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-03|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-04|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-05|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-06|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-07|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-08|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-09|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-10|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-11|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-12|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-13|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-14|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-15|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-16|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-17|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-18|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-19|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-20|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-21|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-22|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-23|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-24|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-25|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-26|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-27|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-28|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-29|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-11-30|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-01|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-02|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-03|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-04|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-05|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-06|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-07|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-08|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-09|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-10|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-11|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-12|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-13|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-14|62528.0|0|210609.0|0|230347.0|0|99927.0|0
