|dates|DukesandNantucket_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|DukesandNantucket_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|DukesandNantucket_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|DukesandNantucket_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|DukesandNantucket_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|DukesandNantucket_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|DukesandNantucket_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|DukesandNantucket_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3734.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-18|3749.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-19|3758.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-20|3768.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-21|3774.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-22|3776.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-23|3776.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-24|3776.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-25|3783.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-26|3786.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-27|3788.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-28|3788.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-29|3795.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-30|3795.0|0|0.0|100|7.0|0|0.0|100
0|2021-10-31|3795.0|0|0.0|100|7.0|0|0.0|100
0|2021-11-01|3804.0|0|0.0|100|7.0|0|0.0|100
0|2021-11-02|3805.0|0|0.0|100|7.0|0|0.0|100
0|2021-11-03|3806.0|0|0.0|100|7.0|0|0.0|100
0|2021-11-04|3808.0|0|0.0|100|7.0|0|0.0|100
0|2021-11-05|3813.0|0|0.0|100|7.0|0|0.0|100
