|dates|St.Charles_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|St.Charles_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|St.Charles_Missouri_UnitedStates.Male_Total_Population.data|St.Charles_Missouri_UnitedStates.Male_Total_Population.missing|St.Charles_Missouri_UnitedStates.Female_Total_Population.data|St.Charles_Missouri_UnitedStates.Female_Total_Population.missing|St.Charles_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|St.Charles_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-18|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-19|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-20|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-21|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-22|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-23|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-24|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-25|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-26|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-27|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-28|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-29|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-30|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-10-31|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-01|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-02|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-03|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-04|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-05|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-06|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-07|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-08|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-09|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-10|60779.0|0|196224.0|0|202958.0|0|92666.0|0
0|2021-11-11|60779.0|0|196224.0|0|202958.0|0|92666.0|0
