|dates|Boone_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Boone_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Boone_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Boone_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Boone_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Boone_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Boone_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Boone_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|19761.0|0|20474.0|0|181.0|0|0.0|100
0|2021-10-18|19894.0|0|20574.0|0|181.0|0|0.0|100
0|2021-10-19|19943.0|0|20688.0|0|181.0|0|0.0|100
0|2021-10-20|20001.0|0|20751.0|0|181.0|0|0.0|100
0|2021-10-21|20076.0|0|20791.0|0|186.0|0|0.0|100
0|2021-10-22|20122.0|0|20866.0|0|186.0|0|0.0|100
0|2021-10-23|20122.0|0|20866.0|0|186.0|0|0.0|100
0|2021-10-24|20122.0|0|20866.0|0|186.0|0|0.0|100
0|2021-10-25|20234.0|0|21011.0|0|186.0|0|0.0|100
0|2021-10-26|20253.0|0|21026.0|0|186.0|0|0.0|100
0|2021-10-27|20287.0|0|21054.0|0|186.0|0|0.0|100
0|2021-10-28|20365.0|0|21108.0|0|189.0|0|0.0|100
0|2021-10-29|20403.0|0|21153.0|0|195.0|0|0.0|100
0|2021-10-30|20403.0|0|21153.0|0|195.0|0|0.0|100
0|2021-10-31|20403.0|0|21153.0|0|195.0|0|0.0|100
0|2021-11-01|20489.0|0|21253.0|0|195.0|0|0.0|100
0|2021-11-02|20509.0|0|21273.0|0|195.0|0|0.0|100
0|2021-11-03|20571.0|0|21333.0|0|195.0|0|0.0|100
0|2021-11-04|20624.0|0|21367.0|0|195.0|0|0.0|100
0|2021-11-05|20668.0|0|21367.0|0|195.0|0|0.0|100
0|2021-11-06|20668.0|0|21367.0|0|195.0|0|0.0|100
0|2021-11-07|20668.0|0|21367.0|0|195.0|0|0.0|100
0|2021-11-08|20787.0|0|21549.0|0|195.0|0|0.0|100
0|2021-11-09|20840.0|0|21611.0|0|195.0|0|0.0|100
0|2021-11-10|20840.0|0|21660.0|0|195.0|0|0.0|100
0|2021-11-11|20881.0|0|21660.0|0|196.0|0|0.0|100
0|2021-11-12|21010.0|0|21799.0|0|197.0|0|0.0|100
0|2021-11-13|21010.0|0|21799.0|0|197.0|0|0.0|100
0|2021-11-14|21010.0|0|21799.0|0|197.0|0|0.0|100
0|2021-11-15|21124.0|0|21927.0|0|198.0|0|0.0|100
0|2021-11-16|21169.0|0|21973.0|0|199.0|0|0.0|100
0|2021-11-17|21244.0|0|22054.0|0|200.0|0|0.0|100
0|2021-11-18|21305.0|0|22112.0|0|200.0|0|0.0|100
0|2021-11-19|21394.0|0|22192.0|0|203.0|0|0.0|100
0|2021-11-20|21394.0|0|22192.0|0|203.0|0|0.0|100
0|2021-11-21|21394.0|0|22192.0|0|203.0|0|0.0|100
0|2021-11-22|21555.0|0|22358.0|0|205.0|0|0.0|100
0|2021-11-23|21597.0|0|22381.0|0|208.0|0|0.0|100
0|2021-11-24|21661.0|0|22467.0|0|210.0|0|0.0|100
0|2021-11-25|21661.0|0|22467.0|0|210.0|0|0.0|100
0|2021-11-26|21661.0|0|22467.0|0|210.0|0|0.0|100
0|2021-11-27|21661.0|0|22467.0|0|210.0|0|0.0|100
0|2021-11-28|21661.0|0|22467.0|0|210.0|0|0.0|100
0|2021-11-29|21859.0|0|22707.0|0|210.0|0|0.0|100
0|2021-11-30|21938.0|0|22759.0|0|212.0|0|0.0|100
