|dates|Lincoln_Colorado_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Colorado_UnitedStates.NYT_ConfirmedCases.data|Lincoln_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Lincoln_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1283.0|0|1283.0|0|7.0|0|0.0|100
0|2021-10-18|1294.0|0|1294.0|0|8.0|0|0.0|100
0|2021-10-19|1296.0|0|1296.0|0|8.0|0|0.0|100
0|2021-10-20|1299.0|0|1299.0|0|8.0|0|0.0|100
0|2021-10-21|1305.0|0|1305.0|0|8.0|0|0.0|100
0|2021-10-22|1311.0|0|1311.0|0|8.0|0|0.0|100
0|2021-10-23|1311.0|0|1311.0|0|8.0|0|0.0|100
0|2021-10-24|1311.0|0|1311.0|0|8.0|0|0.0|100
0|2021-10-25|1312.0|0|1312.0|0|8.0|0|0.0|100
0|2021-10-26|1317.0|0|1317.0|0|8.0|0|0.0|100
0|2021-10-27|1319.0|0|1319.0|0|8.0|0|0.0|100
0|2021-10-28|1322.0|0|1322.0|0|8.0|0|0.0|100
0|2021-10-29|1324.0|0|1324.0|0|8.0|0|0.0|100
0|2021-10-30|1324.0|0|1324.0|0|8.0|0|0.0|100
0|2021-10-31|1324.0|0|1324.0|0|8.0|0|0.0|100
0|2021-11-01|1329.0|0|1329.0|0|8.0|0|0.0|100
0|2021-11-02|1331.0|0|1331.0|0|8.0|0|0.0|100
0|2021-11-03|1333.0|0|1333.0|0|8.0|0|0.0|100
0|2021-11-04|1334.0|0|1334.0|0|8.0|0|0.0|100
0|2021-11-05|1332.0|0|1332.0|0|8.0|0|0.0|100
0|2021-11-06|1332.0|0|1332.0|0|8.0|0|0.0|100
