|dates|Guadalupe_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Guadalupe_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Guadalupe_NewMexico_UnitedStates.NYT_ConfirmedCases.data|Guadalupe_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|Guadalupe_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Guadalupe_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Guadalupe_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Guadalupe_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|602.0|0|858.0|0|15.0|0|0.0|100
0|2021-10-18|602.0|0|858.0|0|15.0|0|0.0|100
0|2021-10-19|603.0|0|859.0|0|15.0|0|0.0|100
0|2021-10-20|604.0|0|860.0|0|15.0|0|0.0|100
0|2021-10-21|605.0|0|861.0|0|15.0|0|0.0|100
0|2021-10-22|608.0|0|864.0|0|15.0|0|0.0|100
0|2021-10-23|608.0|0|864.0|0|15.0|0|0.0|100
0|2021-10-24|608.0|0|864.0|0|15.0|0|0.0|100
0|2021-10-25|609.0|0|866.0|0|15.0|0|0.0|100
0|2021-10-26|610.0|0|867.0|0|15.0|0|0.0|100
0|2021-10-27|610.0|0|867.0|0|15.0|0|0.0|100
0|2021-10-28|610.0|0|867.0|0|15.0|0|0.0|100
0|2021-10-29|611.0|0|868.0|0|15.0|0|0.0|100
0|2021-10-30|611.0|0|868.0|0|15.0|0|0.0|100
0|2021-10-31|611.0|0|868.0|0|15.0|0|0.0|100
0|2021-11-01|611.0|0|868.0|0|15.0|0|0.0|100
0|2021-11-02|613.0|0|870.0|0|15.0|0|0.0|100
0|2021-11-03|615.0|0|872.0|0|15.0|0|0.0|100
0|2021-11-04|617.0|0|874.0|0|15.0|0|0.0|100
0|2021-11-05|620.0|0|877.0|0|15.0|0|0.0|100
0|2021-11-06|620.0|0|877.0|0|15.0|0|0.0|100
0|2021-11-07|620.0|0|877.0|0|15.0|0|0.0|100
0|2021-11-08|624.0|0|881.0|0|15.0|0|0.0|100
0|2021-11-09|625.0|0|882.0|0|15.0|0|0.0|100
0|2021-11-10|625.0|0|883.0|0|15.0|0|0.0|100
0|2021-11-11|626.0|0|883.0|0|15.0|0|0.0|100
0|2021-11-12|630.0|0|887.0|0|15.0|0|0.0|100
0|2021-11-13|630.0|0|887.0|0|15.0|0|0.0|100
0|2021-11-14|630.0|0|887.0|0|15.0|0|0.0|100
0|2021-11-15|632.0|0|889.0|0|15.0|0|0.0|100
0|2021-11-16|634.0|0|891.0|0|15.0|0|0.0|100
0|2021-11-17|635.0|0|892.0|0|15.0|0|0.0|100
0|2021-11-18|640.0|0|897.0|0|15.0|0|0.0|100
0|2021-11-19|643.0|0|900.0|0|15.0|0|0.0|100
0|2021-11-20|643.0|0|900.0|0|15.0|0|0.0|100
0|2021-11-21|643.0|0|900.0|0|15.0|0|0.0|100
0|2021-11-22|647.0|0|904.0|0|15.0|0|0.0|100
0|2021-11-23|648.0|0|905.0|0|15.0|0|0.0|100
0|2021-11-24|652.0|0|909.0|0|15.0|0|0.0|100
0|2021-11-25|652.0|0|909.0|0|15.0|0|0.0|100
0|2021-11-26|652.0|0|909.0|0|15.0|0|0.0|100
0|2021-11-27|652.0|0|909.0|0|15.0|0|0.0|100
0|2021-11-28|652.0|0|909.0|0|15.0|0|0.0|100
0|2021-11-29|660.0|0|917.0|0|15.0|0|0.0|100
0|2021-11-30|661.0|0|919.0|0|15.0|0|0.0|100
0|2021-12-01|665.0|0|923.0|0|15.0|0|0.0|100
0|2021-12-02|672.0|0|930.0|0|15.0|0|0.0|100
0|2021-12-03|672.0|0|931.0|0|15.0|0|0.0|100
0|2021-12-04|673.0|0|931.0|0|15.0|0|0.0|100
0|2021-12-05|673.0|0|931.0|0|15.0|0|0.0|100
0|2021-12-06|675.0|0|933.0|0|15.0|0|0.0|100
0|2021-12-07|677.0|0|935.0|0|15.0|0|0.0|100
0|2021-12-08|677.0|0|935.0|0|15.0|0|0.0|100
0|2021-12-09|678.0|0|936.0|0|15.0|0|0.0|100
0|2021-12-10|679.0|0|937.0|0|15.0|0|0.0|100
0|2021-12-11|679.0|0|937.0|0|15.0|0|0.0|100
0|2021-12-12|679.0|0|937.0|0|15.0|0|0.0|100
0|2021-12-13|680.0|0|938.0|0|15.0|0|0.0|100
0|2021-12-14|680.0|0|943.0|0|15.0|0|0.0|100
0|2021-12-15|688.0|0|946.0|0|15.0|0|0.0|100
0|2021-12-16|688.0|0|946.0|0|15.0|0|0.0|100
0|2021-12-17|690.0|0|946.0|0|15.0|0|0.0|100
0|2021-12-18|690.0|0|948.0|0|15.0|0|0.0|100
0|2021-12-19|690.0|0|948.0|0|15.0|0|0.0|100
0|2021-12-20|694.0|0|952.0|0|15.0|0|0.0|100
0|2021-12-21|694.0|0|952.0|0|15.0|0|0.0|100
0|2021-12-22|695.0|0|953.0|0|15.0|0|0.0|100
0|2021-12-23|696.0|0|954.0|0|15.0|0|0.0|100
0|2021-12-24|696.0|0|954.0|0|15.0|0|0.0|100
0|2021-12-25|696.0|0|954.0|0|15.0|0|0.0|100
0|2021-12-26|696.0|0|954.0|0|15.0|0|0.0|100
0|2021-12-27|700.0|0|958.0|0|15.0|0|0.0|100
0|2021-12-28|700.0|0|958.0|0|15.0|0|0.0|100
0|2021-12-29|702.0|0|960.0|0|15.0|0|0.0|100
0|2021-12-30|706.0|0|964.0|0|15.0|0|0.0|100
0|2021-12-31|706.0|0|964.0|0|15.0|0|0.0|100
0|2022-01-01|706.0|0|964.0|0|15.0|0|0.0|100
0|2022-01-02|706.0|0|964.0|0|15.0|0|0.0|100
0|2022-01-03|707.0|0|965.0|0|15.0|0|0.0|100
0|2022-01-04|711.0|0|969.0|0|15.0|0|0.0|100
0|2022-01-05|718.0|0|976.0|0|15.0|0|0.0|100
0|2022-01-06|721.0|0|979.0|0|15.0|0|0.0|100
0|2022-01-07|740.0|0|998.0|0|15.0|0|0.0|100
0|2022-01-08|740.0|0|998.0|0|15.0|0|0.0|100
0|2022-01-09|740.0|0|998.0|0|15.0|0|0.0|100
0|2022-01-10|755.0|0|1013.0|0|15.0|0|0.0|100
0|2022-01-11|757.0|0|1015.0|0|15.0|0|0.0|100
0|2022-01-12|776.0|0|1034.0|0|15.0|0|0.0|100
0|2022-01-13|776.0|0|1037.0|0|15.0|0|0.0|100
0|2022-01-14|794.0|0|1052.0|0|15.0|0|0.0|100
0|2022-01-15|794.0|0|1052.0|0|15.0|0|0.0|100
0|2022-01-16|794.0|0|1052.0|0|15.0|0|0.0|100
0|2022-01-17|794.0|0|0.0|100|15.0|0|0.0|100
