|dates|Ford_Illinois_UnitedStates.JHU_ConfirmedCases.data|Ford_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Ford_Illinois_UnitedStates.NYT_ConfirmedCases.data|Ford_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Ford_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Ford_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Ford_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Ford_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2422.0|0|2422.0|0|59.0|0|0.0|100
0|2021-10-18|2428.0|0|2428.0|0|59.0|0|0.0|100
0|2021-10-19|2436.0|0|2436.0|0|59.0|0|0.0|100
0|2021-10-20|2439.0|0|2439.0|0|59.0|0|0.0|100
0|2021-10-21|2456.0|0|2456.0|0|59.0|0|0.0|100
0|2021-10-22|2460.0|0|2460.0|0|59.0|0|0.0|100
0|2021-10-23|2460.0|0|2460.0|0|59.0|0|0.0|100
0|2021-10-24|2460.0|0|2460.0|0|59.0|0|0.0|100
0|2021-10-25|2469.0|0|2469.0|0|59.0|0|0.0|100
0|2021-10-26|2474.0|0|2474.0|0|59.0|0|0.0|100
0|2021-10-27|2476.0|0|2476.0|0|59.0|0|0.0|100
0|2021-10-28|2485.0|0|2485.0|0|59.0|0|0.0|100
0|2021-10-29|2490.0|0|2490.0|0|59.0|0|0.0|100
0|2021-10-30|2490.0|0|2490.0|0|59.0|0|0.0|100
0|2021-10-31|2490.0|0|2490.0|0|59.0|0|0.0|100
0|2021-11-01|2498.0|0|2498.0|0|59.0|0|0.0|100
0|2021-11-02|2508.0|0|2508.0|0|59.0|0|0.0|100
0|2021-11-03|2512.0|0|2512.0|0|59.0|0|0.0|100
0|2021-11-04|2517.0|0|2517.0|0|59.0|0|0.0|100
0|2021-11-05|2522.0|0|2522.0|0|59.0|0|0.0|100
0|2021-11-06|2522.0|0|2522.0|0|59.0|0|0.0|100
0|2021-11-07|2522.0|0|2522.0|0|59.0|0|0.0|100
0|2021-11-08|2534.0|0|2534.0|0|59.0|0|0.0|100
0|2021-11-09|2538.0|0|2538.0|0|59.0|0|0.0|100
0|2021-11-10|2538.0|0|2550.0|0|59.0|0|0.0|100
0|2021-11-11|2550.0|0|2550.0|0|59.0|0|0.0|100
0|2021-11-12|2563.0|0|2563.0|0|59.0|0|0.0|100
0|2021-11-13|2563.0|0|2563.0|0|59.0|0|0.0|100
0|2021-11-14|2563.0|0|2563.0|0|59.0|0|0.0|100
0|2021-11-15|2571.0|0|2571.0|0|59.0|0|0.0|100
0|2021-11-16|2582.0|0|2582.0|0|59.0|0|0.0|100
0|2021-11-17|2587.0|0|2587.0|0|59.0|0|0.0|100
0|2021-11-18|2596.0|0|2596.0|0|59.0|0|0.0|100
0|2021-11-19|2599.0|0|2599.0|0|59.0|0|0.0|100
0|2021-11-20|2599.0|0|2599.0|0|59.0|0|0.0|100
0|2021-11-21|2599.0|0|2599.0|0|59.0|0|0.0|100
0|2021-11-22|2609.0|0|2609.0|0|59.0|0|0.0|100
0|2021-11-23|2619.0|0|2619.0|0|59.0|0|0.0|100
0|2021-11-24|2626.0|0|2626.0|0|59.0|0|0.0|100
0|2021-11-25|2626.0|0|2626.0|0|59.0|0|0.0|100
0|2021-11-26|2626.0|0|2626.0|0|59.0|0|0.0|100
0|2021-11-27|2626.0|0|2626.0|0|59.0|0|0.0|100
0|2021-11-28|2626.0|0|2626.0|0|59.0|0|0.0|100
0|2021-11-29|2644.0|0|2644.0|0|59.0|0|0.0|100
0|2021-11-30|2658.0|0|2658.0|0|59.0|0|0.0|100
0|2021-12-01|2668.0|0|2668.0|0|59.0|0|0.0|100
0|2021-12-02|2668.0|0|2688.0|0|59.0|0|0.0|100
0|2021-12-03|2696.0|0|2696.0|0|59.0|0|0.0|100
