|dates|Antrim_Michigan_UnitedStates.JHU_ConfirmedCases.data|Antrim_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Antrim_Michigan_UnitedStates.NYT_ConfirmedCases.data|Antrim_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Antrim_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Antrim_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Antrim_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Antrim_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2243.0|0|2245.0|0|36.0|0|0.0|100
0|2021-10-18|2272.0|0|2279.0|0|37.0|0|0.0|100
0|2021-10-19|2272.0|0|2298.0|0|37.0|0|0.0|100
0|2021-10-20|2309.0|0|2311.0|0|37.0|0|0.0|100
0|2021-10-21|2309.0|0|2322.0|0|37.0|0|0.0|100
0|2021-10-22|2330.0|0|2339.0|0|37.0|0|0.0|100
0|2021-10-23|2330.0|0|2339.0|0|37.0|0|0.0|100
0|2021-10-24|2330.0|0|2339.0|0|37.0|0|0.0|100
0|2021-10-25|2360.0|0|2367.0|0|38.0|0|0.0|100
0|2021-10-26|2360.0|0|2380.0|0|38.0|0|0.0|100
0|2021-10-27|2389.0|0|2395.0|0|38.0|0|0.0|100
0|2021-10-28|2389.0|0|2401.0|0|38.0|0|0.0|100
0|2021-10-29|2408.0|0|2411.0|0|38.0|0|0.0|100
0|2021-10-30|2408.0|0|2411.0|0|38.0|0|0.0|100
0|2021-10-31|2408.0|0|2411.0|0|38.0|0|0.0|100
0|2021-11-01|2431.0|0|2440.0|0|38.0|0|0.0|100
0|2021-11-02|2431.0|0|2453.0|0|38.0|0|0.0|100
0|2021-11-03|2469.0|0|2477.0|0|38.0|0|0.0|100
0|2021-11-04|2469.0|0|2487.0|0|38.0|0|0.0|100
0|2021-11-05|2493.0|0|2496.0|0|38.0|0|0.0|100
0|2021-11-06|2493.0|0|2496.0|0|38.0|0|0.0|100
0|2021-11-07|2493.0|0|2496.0|0|38.0|0|0.0|100
0|2021-11-08|2525.0|0|2529.0|0|38.0|0|0.0|100
0|2021-11-09|2525.0|0|2541.0|0|38.0|0|0.0|100
0|2021-11-10|2550.0|0|2553.0|0|38.0|0|0.0|100
0|2021-11-11|2550.0|0|2567.0|0|38.0|0|0.0|100
0|2021-11-12|2577.0|0|2584.0|0|38.0|0|0.0|100
0|2021-11-13|2577.0|0|2584.0|0|38.0|0|0.0|100
0|2021-11-14|2577.0|0|2584.0|0|38.0|0|0.0|100
0|2021-11-15|2626.0|0|2635.0|0|40.0|0|0.0|100
0|2021-11-16|2626.0|0|2650.0|0|40.0|0|0.0|100
0|2021-11-17|2660.0|0|2668.0|0|40.0|0|0.0|100
0|2021-11-18|2660.0|0|2704.0|0|40.0|0|0.0|100
0|2021-11-19|2718.0|0|2725.0|0|40.0|0|0.0|100
0|2021-11-20|2718.0|0|2725.0|0|40.0|0|0.0|100
0|2021-11-21|2718.0|0|2725.0|0|40.0|0|0.0|100
0|2021-11-22|2744.0|0|2745.0|0|42.0|0|0.0|100
0|2021-11-23|2744.0|0|2758.0|0|42.0|0|0.0|100
0|2021-11-24|2769.0|0|2774.0|0|42.0|0|0.0|100
0|2021-11-25|2769.0|0|2774.0|0|42.0|0|0.0|100
0|2021-11-26|2769.0|0|2774.0|0|42.0|0|0.0|100
0|2021-11-27|2769.0|0|2774.0|0|42.0|0|0.0|100
0|2021-11-28|2769.0|0|2774.0|0|42.0|0|0.0|100
0|2021-11-29|2812.0|0|2816.0|0|42.0|0|0.0|100
0|2021-11-30|2812.0|0|2848.0|0|42.0|0|0.0|100
0|2021-12-01|2866.0|0|2866.0|0|43.0|0|0.0|100
0|2021-12-02|2866.0|0|2891.0|0|43.0|0|0.0|100
0|2021-12-03|2910.0|0|2914.0|0|43.0|0|0.0|100
0|2021-12-04|2910.0|0|2914.0|0|43.0|0|0.0|100
0|2021-12-05|2910.0|0|2914.0|0|43.0|0|0.0|100
0|2021-12-06|2938.0|0|2944.0|0|43.0|0|0.0|100
0|2021-12-07|2938.0|0|2960.0|0|43.0|0|0.0|100
0|2021-12-08|2965.0|0|2975.0|0|44.0|0|0.0|100
0|2021-12-09|2965.0|0|2988.0|0|44.0|0|0.0|100
0|2021-12-10|2993.0|0|2997.0|0|45.0|0|0.0|100
0|2021-12-11|2993.0|0|2997.0|0|45.0|0|0.0|100
0|2021-12-12|2993.0|0|2997.0|0|45.0|0|0.0|100
0|2021-12-13|3016.0|0|3026.0|0|47.0|0|0.0|100
0|2021-12-14|3016.0|0|3035.0|0|47.0|0|0.0|100
0|2021-12-15|3042.0|0|3050.0|0|48.0|0|0.0|100
0|2021-12-16|3042.0|0|3063.0|0|48.0|0|0.0|100
0|2021-12-17|3069.0|0|3070.0|0|48.0|0|0.0|100
0|2021-12-18|3069.0|0|3070.0|0|48.0|0|0.0|100
0|2021-12-19|3069.0|0|3070.0|0|48.0|0|0.0|100
0|2021-12-20|3076.0|0|3084.0|0|50.0|0|0.0|100
0|2021-12-21|3076.0|0|3093.0|0|50.0|0|0.0|100
0|2021-12-22|3096.0|0|3101.0|0|50.0|0|0.0|100
0|2021-12-23|3096.0|0|3101.0|0|50.0|0|0.0|100
0|2021-12-24|3096.0|0|3101.0|0|50.0|0|0.0|100
0|2021-12-25|3096.0|0|3101.0|0|50.0|0|0.0|100
0|2021-12-26|3096.0|0|3101.0|0|50.0|0|0.0|100
0|2021-12-27|3126.0|0|3129.0|0|50.0|0|0.0|100
0|2021-12-28|3126.0|0|3129.0|0|50.0|0|0.0|100
0|2021-12-29|3153.0|0|3153.0|0|51.0|0|0.0|100
0|2021-12-30|3153.0|0|3153.0|0|51.0|0|0.0|100
0|2021-12-31|3153.0|0|3153.0|0|51.0|0|0.0|100
0|2022-01-01|3153.0|0|3153.0|0|51.0|0|0.0|100
0|2022-01-02|3153.0|0|3153.0|0|51.0|0|0.0|100
0|2022-01-03|3225.0|0|3225.0|0|51.0|0|0.0|100
0|2022-01-04|3225.0|0|3251.0|0|51.0|0|0.0|100
0|2022-01-05|3290.0|0|3298.0|0|51.0|0|0.0|100
0|2022-01-06|3290.0|0|3338.0|0|51.0|0|0.0|100
0|2022-01-07|3365.0|0|3368.0|0|52.0|0|0.0|100
0|2022-01-08|3365.0|0|3368.0|0|52.0|0|0.0|100
0|2022-01-09|3365.0|0|3368.0|0|52.0|0|0.0|100
