|dates|Beauregard_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Beauregard_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Beauregard_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Beauregard_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Beauregard_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Beauregard_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Beauregard_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Beauregard_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6026.0|0|6026.0|0|122.0|0|0.0|100
0|2021-10-18|6041.0|0|6041.0|0|122.0|0|0.0|100
0|2021-10-19|6045.0|0|6045.0|0|122.0|0|0.0|100
0|2021-10-20|6050.0|0|6050.0|0|122.0|0|0.0|100
0|2021-10-21|6056.0|0|6056.0|0|122.0|0|0.0|100
0|2021-10-22|6063.0|0|6063.0|0|122.0|0|0.0|100
0|2021-10-23|6063.0|0|6063.0|0|122.0|0|0.0|100
0|2021-10-24|6063.0|0|6063.0|0|122.0|0|0.0|100
0|2021-10-25|6072.0|0|6072.0|0|123.0|0|0.0|100
0|2021-10-26|6073.0|0|6073.0|0|123.0|0|0.0|100
0|2021-10-27|6079.0|0|6079.0|0|123.0|0|0.0|100
0|2021-10-28|6084.0|0|6084.0|0|123.0|0|0.0|100
0|2021-10-29|6085.0|0|6085.0|0|124.0|0|0.0|100
0|2021-10-30|6085.0|0|6085.0|0|124.0|0|0.0|100
0|2021-10-31|6085.0|0|6085.0|0|124.0|0|0.0|100
0|2021-11-01|6098.0|0|6098.0|0|124.0|0|0.0|100
0|2021-11-02|6101.0|0|6101.0|0|124.0|0|0.0|100
0|2021-11-03|6107.0|0|6107.0|0|124.0|0|0.0|100
0|2021-11-04|6108.0|0|6108.0|0|124.0|0|0.0|100
0|2021-11-05|6112.0|0|6112.0|0|124.0|0|0.0|100
0|2021-11-06|6112.0|0|6112.0|0|124.0|0|0.0|100
0|2021-11-07|6112.0|0|6112.0|0|124.0|0|0.0|100
0|2021-11-08|6119.0|0|6119.0|0|124.0|0|0.0|100
0|2021-11-09|6130.0|0|6130.0|0|124.0|0|0.0|100
0|2021-11-10|6130.0|0|6134.0|0|124.0|0|0.0|100
