|dates|McKinley_NewMexico_UnitedStates.JHU_ConfirmedCases.data|McKinley_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|McKinley_NewMexico_UnitedStates.NYT_ConfirmedCases.data|McKinley_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|McKinley_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|McKinley_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|McKinley_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|McKinley_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|14432.0|0|14432.0|0|502.0|0|0.0|100
0|2021-10-18|14530.0|0|14530.0|0|503.0|0|0.0|100
0|2021-10-19|14565.0|0|14565.0|0|503.0|0|0.0|100
0|2021-10-20|14628.0|0|14628.0|0|504.0|0|0.0|100
0|2021-10-21|14685.0|0|14685.0|0|504.0|0|0.0|100
0|2021-10-22|14736.0|0|14736.0|0|504.0|0|0.0|100
0|2021-10-23|14736.0|0|14736.0|0|504.0|0|0.0|100
0|2021-10-24|14736.0|0|14736.0|0|504.0|0|0.0|100
0|2021-10-25|14802.0|0|14802.0|0|505.0|0|0.0|100
0|2021-10-26|14851.0|0|14851.0|0|505.0|0|0.0|100
0|2021-10-27|14938.0|0|14938.0|0|506.0|0|0.0|100
0|2021-10-28|15025.0|0|15025.0|0|507.0|0|0.0|100
0|2021-10-29|15089.0|0|15089.0|0|507.0|0|0.0|100
0|2021-10-30|15089.0|0|15089.0|0|507.0|0|0.0|100
0|2021-10-31|15089.0|0|15089.0|0|507.0|0|0.0|100
0|2021-11-01|15224.0|0|15224.0|0|508.0|0|0.0|100
0|2021-11-02|15268.0|0|15268.0|0|512.0|0|0.0|100
0|2021-11-03|15345.0|0|15345.0|0|513.0|0|0.0|100
0|2021-11-04|15424.0|0|15424.0|0|514.0|0|0.0|100
0|2021-11-05|15476.0|0|15476.0|0|514.0|0|0.0|100
0|2021-11-06|15476.0|0|15476.0|0|514.0|0|0.0|100
0|2021-11-07|15476.0|0|15476.0|0|514.0|0|0.0|100
0|2021-11-08|15614.0|0|15614.0|0|515.0|0|0.0|100
0|2021-11-09|15674.0|0|15674.0|0|515.0|0|0.0|100
0|2021-11-10|15743.0|0|15743.0|0|515.0|0|0.0|100
0|2021-11-11|15743.0|0|15743.0|0|515.0|0|0.0|100
0|2021-11-12|15895.0|0|15895.0|0|516.0|0|0.0|100
0|2021-11-13|15895.0|0|15895.0|0|516.0|0|0.0|100
0|2021-11-14|15895.0|0|15895.0|0|516.0|0|0.0|100
0|2021-11-15|16012.0|0|16012.0|0|518.0|0|0.0|100
0|2021-11-16|16052.0|0|16052.0|0|519.0|0|0.0|100
0|2021-11-17|16154.0|0|16154.0|0|519.0|0|0.0|100
0|2021-11-18|16226.0|0|16226.0|0|520.0|0|0.0|100
0|2021-11-19|16285.0|0|16285.0|0|520.0|0|0.0|100
0|2021-11-20|16285.0|0|16285.0|0|520.0|0|0.0|100
0|2021-11-21|16285.0|0|16285.0|0|520.0|0|0.0|100
0|2021-11-22|16414.0|0|16414.0|0|520.0|0|0.0|100
0|2021-11-23|16436.0|0|16436.0|0|521.0|0|0.0|100
0|2021-11-24|16517.0|0|16517.0|0|521.0|0|0.0|100
0|2021-11-25|16517.0|0|16517.0|0|521.0|0|0.0|100
0|2021-11-26|16517.0|0|16517.0|0|521.0|0|0.0|100
0|2021-11-27|16517.0|0|16517.0|0|521.0|0|0.0|100
0|2021-11-28|16517.0|0|16517.0|0|521.0|0|0.0|100
0|2021-11-29|16693.0|0|16693.0|0|524.0|0|0.0|100
0|2021-11-30|16723.0|0|16723.0|0|524.0|0|0.0|100
0|2021-12-01|16791.0|0|16791.0|0|525.0|0|0.0|100
0|2021-12-02|16858.0|0|16858.0|0|525.0|0|0.0|100
0|2021-12-03|16914.0|0|16886.0|0|525.0|0|0.0|100
0|2021-12-04|16914.0|0|16914.0|0|525.0|0|0.0|100
0|2021-12-05|16914.0|0|16914.0|0|525.0|0|0.0|100
0|2021-12-06|17014.0|0|17014.0|0|525.0|0|0.0|100
0|2021-12-07|17034.0|0|17034.0|0|525.0|0|0.0|100
0|2021-12-08|17076.0|0|17076.0|0|526.0|0|0.0|100
0|2021-12-09|17113.0|0|17113.0|0|529.0|0|0.0|100
