|dates|Hooker_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Hooker_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Hooker_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Hooker_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Hooker_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Hooker_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Hooker_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Hooker_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|76.0|0|76.0|0|2.0|0|0.0|100
0|2021-10-18|77.0|0|77.0|0|2.0|0|0.0|100
0|2021-10-19|77.0|0|77.0|0|2.0|0|0.0|100
0|2021-10-20|77.0|0|77.0|0|2.0|0|0.0|100
0|2021-10-21|77.0|0|77.0|0|2.0|0|0.0|100
0|2021-10-22|77.0|0|77.0|0|2.0|0|0.0|100
0|2021-10-23|77.0|0|77.0|0|2.0|0|0.0|100
0|2021-10-24|77.0|0|77.0|0|2.0|0|0.0|100
0|2021-10-25|77.0|0|77.0|0|2.0|0|0.0|100
0|2021-10-26|77.0|0|77.0|0|2.0|0|0.0|100
0|2021-10-27|79.0|0|79.0|0|2.0|0|0.0|100
0|2021-10-28|79.0|0|79.0|0|2.0|0|0.0|100
0|2021-10-29|79.0|0|79.0|0|2.0|0|0.0|100
0|2021-10-30|79.0|0|79.0|0|2.0|0|0.0|100
0|2021-10-31|79.0|0|79.0|0|2.0|0|0.0|100
0|2021-11-01|79.0|0|80.0|0|2.0|0|0.0|100
0|2021-11-02|79.0|0|80.0|0|2.0|0|0.0|100
0|2021-11-03|83.0|0|83.0|0|2.0|0|0.0|100
0|2021-11-04|83.0|0|83.0|0|2.0|0|0.0|100
0|2021-11-05|83.0|0|83.0|0|2.0|0|0.0|100
0|2021-11-06|83.0|0|83.0|0|2.0|0|0.0|100
0|2021-11-07|83.0|0|83.0|0|2.0|0|0.0|100
0|2021-11-08|87.0|0|87.0|0|2.0|0|0.0|100
0|2021-11-09|87.0|0|87.0|0|2.0|0|0.0|100
0|2021-11-10|87.0|0|87.0|0|2.0|0|0.0|100
0|2021-11-11|87.0|0|87.0|0|2.0|0|0.0|100
0|2021-11-12|87.0|0|87.0|0|2.0|0|0.0|100
0|2021-11-13|87.0|0|87.0|0|2.0|0|0.0|100
0|2021-11-14|87.0|0|87.0|0|2.0|0|0.0|100
0|2021-11-15|88.0|0|88.0|0|2.0|0|0.0|100
0|2021-11-16|88.0|0|88.0|0|2.0|0|0.0|100
0|2021-11-17|88.0|0|88.0|0|2.0|0|0.0|100
0|2021-11-18|88.0|0|88.0|0|2.0|0|0.0|100
0|2021-11-19|88.0|0|88.0|0|2.0|0|0.0|100
0|2021-11-20|88.0|0|88.0|0|2.0|0|0.0|100
0|2021-11-21|88.0|0|88.0|0|2.0|0|0.0|100
0|2021-11-22|88.0|0|88.0|0|2.0|0|0.0|100
0|2021-11-23|89.0|0|89.0|0|2.0|0|0.0|100
0|2021-11-24|89.0|0|89.0|0|2.0|0|0.0|100
0|2021-11-25|89.0|0|89.0|0|2.0|0|0.0|100
0|2021-11-26|89.0|0|89.0|0|2.0|0|0.0|100
0|2021-11-27|89.0|0|89.0|0|2.0|0|0.0|100
0|2021-11-28|89.0|0|89.0|0|2.0|0|0.0|100
0|2021-11-29|92.0|0|92.0|0|2.0|0|0.0|100
0|2021-11-30|92.0|0|92.0|0|2.0|0|0.0|100
0|2021-12-01|93.0|0|93.0|0|2.0|0|0.0|100
0|2021-12-02|94.0|0|94.0|0|2.0|0|0.0|100
0|2021-12-03|94.0|0|94.0|0|2.0|0|0.0|100
