|dates|Wake_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Wake_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Wake_NorthCarolina_UnitedStates.Male_Total_Population.data|Wake_NorthCarolina_UnitedStates.Male_Total_Population.missing|Wake_NorthCarolina_UnitedStates.Female_Total_Population.data|Wake_NorthCarolina_UnitedStates.Female_Total_Population.missing|Wake_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Wake_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-18|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-19|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-20|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-21|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-22|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-23|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-24|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-25|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-26|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-27|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-28|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-29|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-30|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-10-31|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-01|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-02|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-03|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-04|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-05|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-06|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-07|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-08|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-09|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-10|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-11|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-12|126886.0|0|531546.0|0|560759.0|0|261531.0|0
0|2021-11-13|126886.0|0|531546.0|0|560759.0|0|261531.0|0
