|dates|Petroleum_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Petroleum_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Petroleum_Montana_UnitedStates.Male_Total_Population.data|Petroleum_Montana_UnitedStates.Male_Total_Population.missing|Petroleum_Montana_UnitedStates.Female_Total_Population.data|Petroleum_Montana_UnitedStates.Female_Total_Population.missing|Petroleum_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Petroleum_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-01|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-02|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-03|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-04|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-05|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-06|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-07|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-08|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-09|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-10|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-11|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-12|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-13|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-14|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-15|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-16|128.0|0|279.0|0|234.0|0|92.0|0
0|2022-01-17|128.0|0|279.0|0|234.0|0|92.0|0
