|dates|Scott_Kansas_UnitedStates.JHU_ConfirmedCases.data|Scott_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Scott_Kansas_UnitedStates.NYT_ConfirmedCases.data|Scott_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Scott_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|737.0|0|737.0|0|27.0|0|0.0|100
0|2021-10-18|742.0|0|742.0|0|27.0|0|0.0|100
0|2021-10-19|742.0|0|742.0|0|27.0|0|0.0|100
0|2021-10-20|753.0|0|753.0|0|27.0|0|0.0|100
0|2021-10-21|753.0|0|753.0|0|27.0|0|0.0|100
0|2021-10-22|763.0|0|763.0|0|27.0|0|0.0|100
0|2021-10-23|763.0|0|763.0|0|27.0|0|0.0|100
0|2021-10-24|763.0|0|763.0|0|27.0|0|0.0|100
0|2021-10-25|768.0|0|768.0|0|27.0|0|0.0|100
0|2021-10-26|768.0|0|768.0|0|27.0|0|0.0|100
0|2021-10-27|786.0|0|786.0|0|28.0|0|0.0|100
0|2021-10-28|786.0|0|786.0|0|28.0|0|0.0|100
0|2021-10-29|792.0|0|792.0|0|28.0|0|0.0|100
0|2021-10-30|792.0|0|792.0|0|28.0|0|0.0|100
0|2021-10-31|792.0|0|792.0|0|28.0|0|0.0|100
0|2021-11-01|793.0|0|793.0|0|28.0|0|0.0|100
0|2021-11-02|793.0|0|793.0|0|28.0|0|0.0|100
0|2021-11-03|804.0|0|804.0|0|28.0|0|0.0|100
0|2021-11-04|804.0|0|804.0|0|28.0|0|0.0|100
0|2021-11-05|811.0|0|811.0|0|28.0|0|0.0|100
0|2021-11-06|811.0|0|811.0|0|28.0|0|0.0|100
0|2021-11-07|811.0|0|811.0|0|28.0|0|0.0|100
0|2021-11-08|815.0|0|815.0|0|28.0|0|0.0|100
0|2021-11-09|815.0|0|815.0|0|28.0|0|0.0|100
0|2021-11-10|815.0|0|831.0|0|28.0|0|0.0|100
0|2021-11-11|831.0|0|831.0|0|29.0|0|0.0|100
0|2021-11-12|838.0|0|838.0|0|29.0|0|0.0|100
0|2021-11-13|838.0|0|838.0|0|29.0|0|0.0|100
0|2021-11-14|838.0|0|838.0|0|29.0|0|0.0|100
0|2021-11-15|847.0|0|847.0|0|29.0|0|0.0|100
0|2021-11-16|847.0|0|847.0|0|29.0|0|0.0|100
0|2021-11-17|859.0|0|859.0|0|30.0|0|0.0|100
0|2021-11-18|859.0|0|859.0|0|30.0|0|0.0|100
0|2021-11-19|868.0|0|868.0|0|30.0|0|0.0|100
0|2021-11-20|868.0|0|868.0|0|30.0|0|0.0|100
0|2021-11-21|868.0|0|868.0|0|30.0|0|0.0|100
0|2021-11-22|871.0|0|871.0|0|30.0|0|0.0|100
0|2021-11-23|871.0|0|871.0|0|30.0|0|0.0|100
0|2021-11-24|871.0|0|879.0|0|30.0|0|0.0|100
0|2021-11-25|879.0|0|879.0|0|31.0|0|0.0|100
0|2021-11-26|879.0|0|879.0|0|31.0|0|0.0|100
0|2021-11-27|879.0|0|879.0|0|31.0|0|0.0|100
0|2021-11-28|879.0|0|879.0|0|31.0|0|0.0|100
0|2021-11-29|884.0|0|884.0|0|31.0|0|0.0|100
0|2021-11-30|884.0|0|884.0|0|31.0|0|0.0|100
0|2021-12-01|896.0|0|896.0|0|31.0|0|0.0|100
0|2021-12-02|896.0|0|896.0|0|31.0|0|0.0|100
0|2021-12-03|896.0|0|898.0|0|31.0|0|0.0|100
0|2021-12-04|898.0|0|898.0|0|31.0|0|0.0|100
0|2021-12-05|898.0|0|898.0|0|31.0|0|0.0|100
0|2021-12-06|901.0|0|901.0|0|31.0|0|0.0|100
0|2021-12-07|901.0|0|901.0|0|31.0|0|0.0|100
0|2021-12-08|911.0|0|911.0|0|31.0|0|0.0|100
0|2021-12-09|911.0|0|911.0|0|31.0|0|0.0|100
0|2021-12-10|915.0|0|915.0|0|31.0|0|0.0|100
0|2021-12-11|915.0|0|915.0|0|31.0|0|0.0|100
0|2021-12-12|915.0|0|915.0|0|31.0|0|0.0|100
0|2021-12-13|916.0|0|916.0|0|31.0|0|0.0|100
0|2021-12-14|916.0|0|916.0|0|31.0|0|0.0|100
0|2021-12-15|922.0|0|922.0|0|31.0|0|0.0|100
0|2021-12-16|922.0|0|922.0|0|31.0|0|0.0|100
0|2021-12-17|934.0|0|934.0|0|31.0|0|0.0|100
0|2021-12-18|934.0|0|934.0|0|31.0|0|0.0|100
0|2021-12-19|934.0|0|934.0|0|31.0|0|0.0|100
0|2021-12-20|936.0|0|936.0|0|31.0|0|0.0|100
0|2021-12-21|936.0|0|936.0|0|31.0|0|0.0|100
0|2021-12-22|941.0|0|941.0|0|31.0|0|0.0|100
0|2021-12-23|941.0|0|941.0|0|31.0|0|0.0|100
0|2021-12-24|941.0|0|941.0|0|31.0|0|0.0|100
0|2021-12-25|941.0|0|941.0|0|31.0|0|0.0|100
