|dates|Franklin_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Franklin_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Franklin_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1191.0|0|1191.0|0|28.0|0|0.0|100
0|2021-10-18|1191.0|0|1191.0|0|28.0|0|0.0|100
0|2021-10-19|1193.0|0|1193.0|0|28.0|0|0.0|100
0|2021-10-20|1194.0|0|1194.0|0|28.0|0|0.0|100
0|2021-10-21|1200.0|0|1200.0|0|28.0|0|0.0|100
0|2021-10-22|1202.0|0|1202.0|0|28.0|0|0.0|100
0|2021-10-23|1202.0|0|1202.0|0|28.0|0|0.0|100
0|2021-10-24|1202.0|0|1202.0|0|28.0|0|0.0|100
0|2021-10-25|1203.0|0|1203.0|0|28.0|0|0.0|100
0|2021-10-26|1207.0|0|1207.0|0|28.0|0|0.0|100
0|2021-10-27|1208.0|0|1208.0|0|28.0|0|0.0|100
0|2021-10-28|1211.0|0|1211.0|0|28.0|0|0.0|100
0|2021-10-29|1214.0|0|1214.0|0|28.0|0|0.0|100
0|2021-10-30|1214.0|0|1214.0|0|28.0|0|0.0|100
0|2021-10-31|1214.0|0|1214.0|0|28.0|0|0.0|100
0|2021-11-01|1214.0|0|1214.0|0|28.0|0|0.0|100
0|2021-11-02|1215.0|0|1215.0|0|28.0|0|0.0|100
0|2021-11-03|1215.0|0|1215.0|0|28.0|0|0.0|100
0|2021-11-04|1217.0|0|1217.0|0|28.0|0|0.0|100
0|2021-11-05|1217.0|0|1217.0|0|28.0|0|0.0|100
0|2021-11-06|1217.0|0|1217.0|0|28.0|0|0.0|100
0|2021-11-07|1217.0|0|1217.0|0|28.0|0|0.0|100
0|2021-11-08|1222.0|0|1222.0|0|28.0|0|0.0|100
0|2021-11-09|1223.0|0|1223.0|0|28.0|0|0.0|100
0|2021-11-10|1223.0|0|1225.0|0|28.0|0|0.0|100
0|2021-11-11|1225.0|0|1225.0|0|28.0|0|0.0|100
0|2021-11-12|1227.0|0|1227.0|0|28.0|0|0.0|100
0|2021-11-13|1227.0|0|1227.0|0|28.0|0|0.0|100
0|2021-11-14|1227.0|0|1227.0|0|28.0|0|0.0|100
0|2021-11-15|1228.0|0|1228.0|0|29.0|0|0.0|100
0|2021-11-16|1234.0|0|1234.0|0|29.0|0|0.0|100
0|2021-11-17|1234.0|0|1234.0|0|29.0|0|0.0|100
0|2021-11-18|1236.0|0|1236.0|0|29.0|0|0.0|100
0|2021-11-19|1238.0|0|1238.0|0|29.0|0|0.0|100
0|2021-11-20|1238.0|0|1238.0|0|29.0|0|0.0|100
0|2021-11-21|1238.0|0|1238.0|0|29.0|0|0.0|100
0|2021-11-22|1245.0|0|1245.0|0|29.0|0|0.0|100
