|dates|Barnstable_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Barnstable_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Barnstable_Massachusetts_UnitedStates.Male_Total_Population.data|Barnstable_Massachusetts_UnitedStates.Male_Total_Population.missing|Barnstable_Massachusetts_UnitedStates.Female_Total_Population.data|Barnstable_Massachusetts_UnitedStates.Female_Total_Population.missing|Barnstable_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.data|Barnstable_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-18|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-19|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-20|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-21|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-22|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-23|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-24|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-25|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-26|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-27|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-28|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-29|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-30|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-10-31|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-01|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-02|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-03|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-04|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-05|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-06|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-07|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-08|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-09|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-10|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-11|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-12|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-13|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-14|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-15|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-16|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-17|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-18|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-19|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-20|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-21|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-22|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-23|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-24|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-25|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-26|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-27|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-28|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-29|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-11-30|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-01|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-02|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-03|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-04|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-05|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-06|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-07|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-08|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-09|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-10|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-11|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-12|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-13|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-14|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-15|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-16|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-17|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-18|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-19|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-20|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-21|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-22|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-23|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-24|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-25|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-26|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-27|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-28|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-29|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-30|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2021-12-31|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2022-01-01|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2022-01-02|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2022-01-03|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2022-01-04|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2022-01-05|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2022-01-06|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2022-01-07|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2022-01-08|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2022-01-09|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2022-01-10|65299.0|0|102092.0|0|111321.0|0|32172.0|0
