|dates|Thurston_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Thurston_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Thurston_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Thurston_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Thurston_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Thurston_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Thurston_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Thurston_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1024.0|0|1024.0|0|11.0|0|0.0|100
0|2021-10-18|1026.0|0|1026.0|0|11.0|0|0.0|100
0|2021-10-19|1026.0|0|1026.0|0|11.0|0|0.0|100
0|2021-10-20|1029.0|0|1029.0|0|11.0|0|0.0|100
0|2021-10-21|1030.0|0|1030.0|0|11.0|0|0.0|100
0|2021-10-22|1030.0|0|1030.0|0|11.0|0|0.0|100
0|2021-10-23|1030.0|0|1030.0|0|11.0|0|0.0|100
0|2021-10-24|1030.0|0|1030.0|0|11.0|0|0.0|100
0|2021-10-25|1030.0|0|1030.0|0|11.0|0|0.0|100
0|2021-10-26|1030.0|0|1030.0|0|11.0|0|0.0|100
0|2021-10-27|1038.0|0|1038.0|0|11.0|0|0.0|100
0|2021-10-28|1038.0|0|1038.0|0|11.0|0|0.0|100
0|2021-10-29|1038.0|0|1041.0|0|11.0|0|0.0|100
0|2021-10-30|1038.0|0|1041.0|0|11.0|0|0.0|100
0|2021-10-31|1038.0|0|1041.0|0|11.0|0|0.0|100
0|2021-11-01|1038.0|0|1044.0|0|11.0|0|0.0|100
0|2021-11-02|1038.0|0|1044.0|0|11.0|0|0.0|100
0|2021-11-03|1067.0|0|1067.0|0|11.0|0|0.0|100
0|2021-11-04|1067.0|0|1067.0|0|11.0|0|0.0|100
0|2021-11-05|1067.0|0|1067.0|0|11.0|0|0.0|100
0|2021-11-06|1067.0|0|1067.0|0|11.0|0|0.0|100
0|2021-11-07|1067.0|0|1067.0|0|11.0|0|0.0|100
0|2021-11-08|1076.0|0|1076.0|0|11.0|0|0.0|100
0|2021-11-09|1077.0|0|1077.0|0|11.0|0|0.0|100
0|2021-11-10|1077.0|0|1077.0|0|11.0|0|0.0|100
0|2021-11-11|1080.0|0|1080.0|0|11.0|0|0.0|100
0|2021-11-12|1088.0|0|1088.0|0|11.0|0|0.0|100
0|2021-11-13|1088.0|0|1088.0|0|11.0|0|0.0|100
0|2021-11-14|1088.0|0|1088.0|0|11.0|0|0.0|100
0|2021-11-15|1092.0|0|1092.0|0|11.0|0|0.0|100
0|2021-11-16|1098.0|0|1098.0|0|11.0|0|0.0|100
0|2021-11-17|1101.0|0|1101.0|0|11.0|0|0.0|100
0|2021-11-18|1103.0|0|1103.0|0|11.0|0|0.0|100
