|dates|Unassigned_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|56800.0|0|56800.0|0|6.0|0|0.0|100
0|2021-10-18|56977.0|0|56977.0|0|6.0|0|0.0|100
0|2021-10-19|57137.0|0|57137.0|0|6.0|0|0.0|100
0|2021-10-20|57251.0|0|57251.0|0|6.0|0|0.0|100
0|2021-10-21|57356.0|0|57356.0|0|6.0|0|0.0|100
0|2021-10-22|57459.0|0|57459.0|0|6.0|0|0.0|100
0|2021-10-23|57459.0|0|57459.0|0|6.0|0|0.0|100
0|2021-10-24|57459.0|0|57459.0|0|6.0|0|0.0|100
0|2021-10-25|57684.0|0|57684.0|0|6.0|0|0.0|100
0|2021-10-26|58038.0|0|58038.0|0|6.0|0|0.0|100
0|2021-10-27|58197.0|0|58197.0|0|6.0|0|0.0|100
0|2021-10-28|58349.0|0|58349.0|0|6.0|0|0.0|100
0|2021-10-29|58493.0|0|58493.0|0|6.0|0|0.0|100
0|2021-10-30|58493.0|0|58493.0|0|6.0|0|0.0|100
0|2021-10-31|58493.0|0|58493.0|0|6.0|0|0.0|100
0|2021-11-01|58560.0|0|58560.0|0|6.0|0|0.0|100
0|2021-11-02|58756.0|0|58756.0|0|6.0|0|0.0|100
0|2021-11-03|58920.0|0|58920.0|0|6.0|0|0.0|100
0|2021-11-04|59088.0|0|59088.0|0|6.0|0|0.0|100
0|2021-11-05|59255.0|0|59255.0|0|6.0|0|0.0|100
0|2021-11-06|59255.0|0|59255.0|0|6.0|0|0.0|100
0|2021-11-07|59255.0|0|59255.0|0|6.0|0|0.0|100
0|2021-11-08|59544.0|0|59544.0|0|6.0|0|0.0|100
0|2021-11-09|59684.0|0|59684.0|0|6.0|0|0.0|100
0|2021-11-10|59684.0|0|59892.0|0|6.0|0|0.0|100
0|2021-11-11|59892.0|0|59892.0|0|6.0|0|0.0|100
0|2021-11-12|60175.0|0|60175.0|0|6.0|0|0.0|100
0|2021-11-13|60175.0|0|60175.0|0|6.0|0|0.0|100
0|2021-11-14|60175.0|0|60175.0|0|6.0|0|0.0|100
0|2021-11-15|60789.0|0|60789.0|0|6.0|0|0.0|100
0|2021-11-16|61127.0|0|61127.0|0|6.0|0|0.0|100
0|2021-11-17|61469.0|0|61469.0|0|6.0|0|0.0|100
0|2021-11-18|61858.0|0|61858.0|0|6.0|0|0.0|100
0|2021-11-19|62123.0|0|62123.0|0|6.0|0|0.0|100
0|2021-11-20|62123.0|0|62123.0|0|6.0|0|0.0|100
0|2021-11-21|62123.0|0|62123.0|0|6.0|0|0.0|100
0|2021-11-22|62483.0|0|62483.0|0|6.0|0|0.0|100
0|2021-11-23|62979.0|0|62979.0|0|5.0|0|0.0|100
0|2021-11-24|63419.0|0|63419.0|0|5.0|0|0.0|100
0|2021-11-25|63419.0|0|63419.0|0|5.0|0|0.0|100
0|2021-11-26|63678.0|0|63678.0|0|5.0|0|0.0|100
0|2021-11-27|63678.0|0|63678.0|0|5.0|0|0.0|100
0|2021-11-28|63678.0|0|63678.0|0|5.0|0|0.0|100
0|2021-11-29|63979.0|0|63979.0|0|5.0|0|0.0|100
0|2021-11-30|64673.0|0|64673.0|0|5.0|0|0.0|100
0|2021-12-01|65141.0|0|65141.0|0|5.0|0|0.0|100
0|2021-12-02|65141.0|0|65662.0|0|5.0|0|0.0|100
0|2021-12-03|66258.0|0|66258.0|0|6.0|0|0.0|100
0|2021-12-04|66258.0|0|66258.0|0|6.0|0|0.0|100
0|2021-12-05|66258.0|0|66258.0|0|6.0|0|0.0|100
0|2021-12-06|66706.0|0|66706.0|0|6.0|0|0.0|100
0|2021-12-07|67493.0|0|67493.0|0|6.0|0|0.0|100
0|2021-12-08|68024.0|0|68024.0|0|6.0|0|0.0|100
0|2021-12-09|68581.0|0|68581.0|0|6.0|0|0.0|100
0|2021-12-10|69245.0|0|69245.0|0|6.0|0|0.0|100
0|2021-12-11|69245.0|0|69245.0|0|6.0|0|0.0|100
0|2021-12-12|69245.0|0|69245.0|0|6.0|0|0.0|100
0|2021-12-13|69857.0|0|69857.0|0|6.0|0|0.0|100
0|2021-12-14|69857.0|0|70494.0|0|6.0|0|0.0|100
0|2021-12-15|71133.0|0|71133.0|0|5.0|0|0.0|100
