|dates|Guayanilla_PuertoRico_UnitedStates.BLS_EmployedPopulation.data|Guayanilla_PuertoRico_UnitedStates.BLS_EmployedPopulation.missing|Guayanilla_PuertoRico_UnitedStates.BLS_UnemployedPopulation.data|Guayanilla_PuertoRico_UnitedStates.BLS_UnemployedPopulation.missing|Guayanilla_PuertoRico_UnitedStates.BLS_UnemploymentRate.data|Guayanilla_PuertoRico_UnitedStates.BLS_UnemploymentRate.missing|Guayanilla_PuertoRico_UnitedStates.BLS_LaborForcePopulation.data|Guayanilla_PuertoRico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-02|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-03|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-04|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-05|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-06|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-07|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-08|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-09|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-10|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-11|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-12|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-13|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-14|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-15|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-16|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-17|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-18|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-19|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-20|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-21|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-22|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-23|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-24|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-25|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-26|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-27|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-28|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-29|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-30|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
0|2020-01-31|3907.0|0|800.5|0|17.00477960701009|0|4707.5|0
