|dates|Atlantic_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Atlantic_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Atlantic_NewJersey_UnitedStates.Male_Total_Population.data|Atlantic_NewJersey_UnitedStates.Male_Total_Population.missing|Atlantic_NewJersey_UnitedStates.Female_Total_Population.data|Atlantic_NewJersey_UnitedStates.Female_Total_Population.missing|Atlantic_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Atlantic_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-18|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-19|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-20|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-21|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-22|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-23|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-24|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-25|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-26|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-27|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-28|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-29|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-30|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-10-31|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-01|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-02|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-03|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-04|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-05|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-06|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-07|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-08|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-09|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-10|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-11|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-12|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-13|47611.0|0|128539.0|0|136890.0|0|56347.0|0
0|2021-11-14|47611.0|0|128539.0|0|136890.0|0|56347.0|0
