|dates|Iron_Utah_UnitedStates.JHU_ConfirmedCases.data|Iron_Utah_UnitedStates.JHU_ConfirmedCases.missing|Iron_Utah_UnitedStates.NYT_ConfirmedCases.data|Iron_Utah_UnitedStates.NYT_ConfirmedCases.missing|Iron_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Iron_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Iron_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Iron_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15.0|0|8837.0|0|0.0|0|0.0|100
0|2021-10-18|15.0|0|8837.0|0|0.0|0|0.0|100
0|2021-10-19|15.0|0|8934.0|0|0.0|0|0.0|100
0|2021-10-20|15.0|0|8964.0|0|0.0|0|0.0|100
0|2021-10-21|15.0|0|8964.0|0|0.0|0|0.0|100
0|2021-10-22|15.0|0|9046.0|0|0.0|0|0.0|100
0|2021-10-23|15.0|0|9046.0|0|0.0|0|0.0|100
0|2021-10-24|15.0|0|9046.0|0|0.0|0|0.0|100
0|2021-10-25|15.0|0|9130.0|0|0.0|0|0.0|100
0|2021-10-26|15.0|0|9157.0|0|0.0|0|0.0|100
0|2021-10-27|15.0|0|9178.0|0|0.0|0|0.0|100
0|2021-10-28|15.0|0|9178.0|0|0.0|0|0.0|100
0|2021-10-29|15.0|0|9238.0|0|0.0|0|0.0|100
0|2021-10-30|15.0|0|9238.0|0|0.0|0|0.0|100
0|2021-10-31|15.0|0|9238.0|0|0.0|0|0.0|100
0|2021-11-01|15.0|0|9238.0|0|0.0|0|0.0|100
0|2021-11-02|15.0|0|9311.0|0|0.0|0|0.0|100
0|2021-11-03|15.0|0|9345.0|0|0.0|0|0.0|100
0|2021-11-04|15.0|0|9382.0|0|0.0|0|0.0|100
0|2021-11-05|15.0|0|9408.0|0|0.0|0|0.0|100
0|2021-11-06|15.0|0|9408.0|0|0.0|0|0.0|100
0|2021-11-07|15.0|0|9408.0|0|0.0|0|0.0|100
0|2021-11-08|15.0|0|9408.0|0|0.0|0|0.0|100
0|2021-11-09|15.0|0|9489.0|0|0.0|0|0.0|100
0|2021-11-10|15.0|0|9489.0|0|0.0|0|0.0|100
0|2021-11-11|15.0|0|9520.0|0|0.0|0|0.0|100
0|2021-11-12|15.0|0|9572.0|0|0.0|0|0.0|100
0|2021-11-13|15.0|0|9572.0|0|0.0|0|0.0|100
0|2021-11-14|15.0|0|9572.0|0|0.0|0|0.0|100
0|2021-11-15|15.0|0|9572.0|0|0.0|0|0.0|100
0|2021-11-16|15.0|0|9639.0|0|0.0|0|0.0|100
