|dates|Sully_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sully_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sully_SouthDakota_UnitedStates.Male_Total_Population.data|Sully_SouthDakota_UnitedStates.Male_Total_Population.missing|Sully_SouthDakota_UnitedStates.Female_Total_Population.data|Sully_SouthDakota_UnitedStates.Female_Total_Population.missing|Sully_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Sully_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-18|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-19|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-20|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-21|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-22|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-23|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-24|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-25|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-26|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-27|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-28|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-29|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-30|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-10-31|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-01|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-02|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-03|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-04|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-05|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-06|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-07|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-08|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-09|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-10|348.0|0|732.0|0|660.0|0|292.0|0
