|dates|Custer_Idaho_UnitedStates.BLS_EmployedPopulation.data|Custer_Idaho_UnitedStates.BLS_EmployedPopulation.missing|Custer_Idaho_UnitedStates.BLS_UnemployedPopulation.data|Custer_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|Custer_Idaho_UnitedStates.BLS_UnemploymentRate.data|Custer_Idaho_UnitedStates.BLS_UnemploymentRate.missing|Custer_Idaho_UnitedStates.BLS_LaborForcePopulation.data|Custer_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-18|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-19|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-20|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-21|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-22|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-23|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-24|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-25|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-26|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-27|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-28|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-29|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-30|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-10-31|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-01|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-02|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-03|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-04|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-05|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-06|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-07|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-08|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-09|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-10|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-11|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-12|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-13|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-14|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-15|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-16|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-17|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
0|2021-11-18|2215.0|0|82.0|0|3.569873748367436|0|2297.0|0
