|dates|ElPaso_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|ElPaso_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|ElPaso_Colorado_UnitedStates.Male_Total_Population.data|ElPaso_Colorado_UnitedStates.Male_Total_Population.missing|ElPaso_Colorado_UnitedStates.Female_Total_Population.data|ElPaso_Colorado_UnitedStates.Female_Total_Population.missing|ElPaso_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|ElPaso_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-18|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-19|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-20|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-21|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-22|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-23|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-24|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-25|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-26|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-27|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-28|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-29|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-30|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-10-31|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-01|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-02|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-03|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-04|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-05|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-06|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-07|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-08|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-09|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-10|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-11|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-12|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-13|91063.0|0|360720.0|0|353136.0|0|172064.0|0
0|2021-11-14|91063.0|0|360720.0|0|353136.0|0|172064.0|0
