|dates|Coamo_PuertoRico_UnitedStates.BLS_EmployedPopulation.data|Coamo_PuertoRico_UnitedStates.BLS_EmployedPopulation.missing|Coamo_PuertoRico_UnitedStates.BLS_UnemployedPopulation.data|Coamo_PuertoRico_UnitedStates.BLS_UnemployedPopulation.missing|Coamo_PuertoRico_UnitedStates.BLS_UnemploymentRate.data|Coamo_PuertoRico_UnitedStates.BLS_UnemploymentRate.missing|Coamo_PuertoRico_UnitedStates.BLS_LaborForcePopulation.data|Coamo_PuertoRico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-02|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-03|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-04|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-05|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-06|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-07|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-08|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-09|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-10|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-11|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-12|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-13|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-14|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-15|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-16|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-17|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-18|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-19|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-20|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-21|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-22|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-23|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-24|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-25|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-26|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-27|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-28|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-29|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-30|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-01-31|8312.0|0|1374.5|0|14.189851855675425|0|9686.5|0
0|2020-02-01|8436.5|0|1107.5|0|11.60414920368818|0|9544.0|0
