|dates|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedCases.data|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Wyandotte_Kansas_UnitedStates.NYT_ConfirmedCases.data|Wyandotte_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|27678.0|0|27678.0|0|358.0|0|0.0|100
0|2021-10-18|27725.0|0|27725.0|0|358.0|0|0.0|100
0|2021-10-19|27725.0|0|27725.0|0|358.0|0|0.0|100
0|2021-10-20|27796.0|0|27796.0|0|359.0|0|0.0|100
0|2021-10-21|27796.0|0|27796.0|0|359.0|0|0.0|100
0|2021-10-22|27864.0|0|27864.0|0|361.0|0|0.0|100
0|2021-10-23|27864.0|0|27864.0|0|361.0|0|0.0|100
0|2021-10-24|27864.0|0|27864.0|0|361.0|0|0.0|100
0|2021-10-25|27919.0|0|27919.0|0|361.0|0|0.0|100
0|2021-10-26|27919.0|0|27919.0|0|361.0|0|0.0|100
0|2021-10-27|27989.0|0|27989.0|0|362.0|0|0.0|100
0|2021-10-28|27989.0|0|27989.0|0|362.0|0|0.0|100
0|2021-10-29|28034.0|0|28034.0|0|364.0|0|0.0|100
0|2021-10-30|28034.0|0|28034.0|0|364.0|0|0.0|100
0|2021-10-31|28034.0|0|28034.0|0|364.0|0|0.0|100
0|2021-11-01|28083.0|0|28083.0|0|364.0|0|0.0|100
0|2021-11-02|28083.0|0|28083.0|0|364.0|0|0.0|100
0|2021-11-03|28162.0|0|28162.0|0|364.0|0|0.0|100
0|2021-11-04|28162.0|0|28162.0|0|364.0|0|0.0|100
0|2021-11-05|28230.0|0|28230.0|0|365.0|0|0.0|100
0|2021-11-06|28230.0|0|28230.0|0|365.0|0|0.0|100
0|2021-11-07|28230.0|0|28230.0|0|365.0|0|0.0|100
0|2021-11-08|28300.0|0|28300.0|0|367.0|0|0.0|100
0|2021-11-09|28300.0|0|28300.0|0|367.0|0|0.0|100
0|2021-11-10|28370.0|0|28370.0|0|371.0|0|0.0|100
0|2021-11-11|28370.0|0|28370.0|0|371.0|0|0.0|100
0|2021-11-12|28434.0|0|28434.0|0|371.0|0|0.0|100
0|2021-11-13|28434.0|0|28434.0|0|371.0|0|0.0|100
0|2021-11-14|28434.0|0|28434.0|0|371.0|0|0.0|100
0|2021-11-15|28542.0|0|28542.0|0|371.0|0|0.0|100
0|2021-11-16|28542.0|0|28542.0|0|371.0|0|0.0|100
0|2021-11-17|28603.0|0|28603.0|0|371.0|0|0.0|100
0|2021-11-18|28603.0|0|28603.0|0|371.0|0|0.0|100
0|2021-11-19|28683.0|0|28683.0|0|370.0|0|0.0|100
0|2021-11-20|28683.0|0|28683.0|0|370.0|0|0.0|100
0|2021-11-21|28683.0|0|28683.0|0|370.0|0|0.0|100
0|2021-11-22|28800.0|0|28800.0|0|371.0|0|0.0|100
0|2021-11-23|28800.0|0|28800.0|0|371.0|0|0.0|100
0|2021-11-24|28800.0|0|28883.0|0|371.0|0|0.0|100
0|2021-11-25|28883.0|0|28883.0|0|372.0|0|0.0|100
0|2021-11-26|28883.0|0|28883.0|0|372.0|0|0.0|100
