|dates|Seminole_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Seminole_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Seminole_Florida_UnitedStates.Male_Total_Population.data|Seminole_Florida_UnitedStates.Male_Total_Population.missing|Seminole_Florida_UnitedStates.Female_Total_Population.data|Seminole_Florida_UnitedStates.Female_Total_Population.missing|Seminole_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Seminole_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-18|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-19|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-20|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-21|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-22|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-23|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-24|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-25|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-26|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-27|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-28|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-29|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-30|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-10-31|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-01|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-02|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-03|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-04|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-05|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-06|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-07|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-08|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-09|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-10|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-11|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-12|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-13|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-14|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-15|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-16|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-17|72533.0|0|226010.0|0|241822.0|0|98309.0|0
0|2021-11-18|72533.0|0|226010.0|0|241822.0|0|98309.0|0
