|dates|Washington_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Washington_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Washington_Virginia_UnitedStates.Male_Total_Population.data|Washington_Virginia_UnitedStates.Male_Total_Population.missing|Washington_Virginia_UnitedStates.Female_Total_Population.data|Washington_Virginia_UnitedStates.Female_Total_Population.missing|Washington_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Washington_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-18|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-19|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-20|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-21|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-22|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-23|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-24|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-25|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-26|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-27|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-28|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-29|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-30|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-10-31|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-01|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-02|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-03|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-04|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-05|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-06|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-07|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-08|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-09|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-10|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-11|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-12|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-13|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-14|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-15|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-16|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-17|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-18|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-19|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-20|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-21|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-22|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-23|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-24|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-25|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-26|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-27|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-28|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-29|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-11-30|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-01|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-02|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-03|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-04|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-05|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-06|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-07|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-08|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-09|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-10|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-11|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-12|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-13|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-14|12374.0|0|26798.0|0|27604.0|0|10061.0|0
0|2021-12-15|12374.0|0|26798.0|0|27604.0|0|10061.0|0
