|dates|Kenedy_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kenedy_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kenedy_Texas_UnitedStates.Male_Total_Population.data|Kenedy_Texas_UnitedStates.Male_Total_Population.missing|Kenedy_Texas_UnitedStates.Female_Total_Population.data|Kenedy_Texas_UnitedStates.Female_Total_Population.missing|Kenedy_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Kenedy_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-18|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-19|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-20|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-21|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-22|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-23|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-24|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-25|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-26|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-27|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-28|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-29|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-30|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-10-31|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-01|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-02|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-03|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-04|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-05|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-06|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-07|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-08|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-09|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-10|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-11|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-12|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-13|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-14|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-15|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-16|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-17|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-18|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-19|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-20|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-21|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-22|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-23|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-24|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-25|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-26|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-27|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-28|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-29|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-11-30|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-01|69.0|0|228.0|0|214.0|0|120.0|0
